,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,X_COORD,Y_COORD
0,이중섭미술관,서귀포,서귀동,3,41.53846153846154,0.3076923076923077,0.7307692307692307,126.564888,33.24590378
1,천제연폭포,서귀포,중문동,1,67.24137931034483,0.1724137931034483,1.4827586206896552,126.4183754,33.25267658
2,협재해수욕장,제주,한림읍,1,66.61764705882354,0.5343137254901961,1.4754901960784317,126.2391575,33.39386608
3,섭지코지,서귀포,성산읍,1,61.0,0.3916666666666666,1.65,126.9306092,33.42393807
4,제주동문시장,제주,일도일동,4,51.85929648241206,0.5527638190954773,1.4221105527638191,126.5283034,33.51278396
5,함덕해수욕장,제주,조천읍,1,57.84,0.564,1.608,126.6692389,33.54306157
6,용두암,제주,용담2동,1,32.58620689655172,0.4137931034482758,1.793103448275862,126.5119571,33.51611062
7,성산일출봉,서귀포,성산읍,1,65.390625,0.578125,1.5625,126.9405375,33.45913497
8,서귀포매일올레시장,서귀포,서귀동,4,53.96396396396396,0.5255255255255256,1.6396396396396395,126.5632316,33.25015006
9,목장카페 밭디,서귀포,표선면,4,87.27272727272727,0.0,2.4545454545454546,126.7722168,33.40789977
10,쇠소깍,서귀포,하효동,1,57.16981132075472,0.3584905660377358,1.679245283018868,126.6224051,33.25424607
11,해녀박물관,제주,구좌읍,2,53.75,0.125,1.375,126.8634299,33.52357842
12,김녕해수욕장,제주,구좌읍,1,69.76744186046511,0.3372093023255814,1.430232558139535,126.759314,33.55743886
13,제주제트 중문점,서귀포,대포동,5,55.0,0.0,1.3333333333333333,126.4394519,33.23843034
14,제주민속촌,서귀포,표선면,2,93.75,0.125,1.6875,126.8422973,33.32239595
15,아르떼뮤지엄 제주,제주,애월읍,3,80.14285714285714,0.0285714285714285,1.3571428571428572,126.3450106,33.39670048
16,절물자연휴양림,제주,봉개동,1,80.0,0.1851851851851851,1.851851851851852,126.6280113,33.43915259
17,아쿠아플라넷 제주,서귀포,성산읍,6,157.86885245901638,0.3114754098360656,2.0163934426229506,126.9278459,33.43306804
18,보문사,서귀포,안덕면,2,40.0,0.3333333333333333,1.3333333333333333,126.3214866,37.68881563
19,금능해수욕장,제주,한림읍,1,62.69230769230769,0.4358974358974359,1.7179487179487178,126.2358899,33.39044882
20,대정오일시장,서귀포,대정읍,4,60.0,0.0,1.75,126.2483554,33.22045762
21,카멜리아힐,서귀포,안덕면,1,81.57894736842105,0.2280701754385964,2.017543859649123,126.3700095,33.28963443
22,제주동문재래시장,제주,이도일동,4,53.82978723404256,0.6170212765957447,1.4042553191489362,126.5260174,33.51158514
23,제주레포츠랜드,제주,조천읍,5,55.0,0.0,2.5,126.6387551,33.4820682
24,스누피가든,제주,구좌읍,6,129.14634146341464,0.0975609756097561,1.6341463414634143,126.7796675,33.44335922
25,노형수퍼마켙,제주,해안동,3,80.23255813953489,0.0232558139534883,1.4883720930232558,126.4553556,33.46482488
26,테디베어뮤지엄 제주점,서귀포,색달동,3,62.72727272727273,0.3636363636363636,2.090909090909091,126.4121631,33.25029595
27,신양섭지해수욕장,서귀포,성산읍,1,63.0,0.2,2.4,126.9234728,33.43510307
28,제주항공우주박물관,서귀포,안덕면,2,121.2,0.2,2.32,126.2996871,33.3042428
29,국립제주박물관,제주,건입동,2,67.89473684210526,0.0526315789473684,1.1578947368421053,126.5488761,33.51359629
30,교래자연휴양림,제주,조천읍,1,55.71428571428572,0.0,0.7142857142857143,126.6649618,33.44036149
31,마방목지,제주,용강동,1,25.714285714285715,0.4285714285714285,1.0,126.603596,33.42763738
32,중문대포주상절리대,서귀포,중문동,1,48.28125,0.328125,1.703125,126.4260174,33.23799399
33,수목원테마파크,제주,연동,6,96.42857142857144,0.1428571428571428,1.4285714285714286,126.4882266,33.47060712
34,한라수목원,제주,연동,1,52.5,0.21875,1.375,126.4932661,33.46978393
35,에코랜드테마파크,제주,조천읍,6,135.0,0.3157894736842105,2.8157894736842106,126.6702787,33.44833873
36,서프라이즈테마파크,제주,조천읍,6,67.5,0.0,2.5,126.6595954,33.46516535
37,세계자동차&피아노박물관,서귀포,안덕면,2,90.0,0.3333333333333333,1.9166666666666667,126.3498145,33.28375831
38,여미지식물원,서귀포,색달동,6,66.92307692307692,0.3076923076923077,2.3076923076923075,126.4142595,33.25260678
39,하멜상선전시관,서귀포,안덕면,3,36.0,0.2,2.8,126.3137024,33.23331003
40,신화테마파크,서귀포,안덕면,6,93.125,0.4791666666666667,2.333333333333333,126.3152821,33.30475888
41,비자림,제주,구좌읍,1,73.79310344827586,0.2298850574712643,1.7126436781609196,126.8099875,33.49040837
42,바이제주,제주,용담삼동,4,51.42857142857143,0.2142857142857142,1.5714285714285714,126.504123,33.51657358
43,그리스신화박물관,제주,한림읍,2,80.0,0.1666666666666666,2.1666666666666665,126.3571353,33.34861302
44,서문공설시장,제주,용담1동,4,30.0,0.125,2.25,126.5179076,33.51136992
45,환상숲곶자왈공원,제주,한경면,1,97.5,0.125,2.25,126.2630279,33.32290672
46,오설록티뮤지엄,서귀포,안덕면,3,64.25196850393701,0.4409448818897638,1.251968503937008,126.2894893,33.30591329
47,마라도,서귀포,대정읍,1,118.33333333333331,0.2222222222222222,1.3888888888888888,126.2671657,33.11848091
48,9.81파크,제주,애월읍,6,127.02127659574468,0.1276595744680851,1.6595744680851063,126.366664,33.39028982
49,산방산 유람선,서귀포,안덕면,5,67.5,0.0,1.75,126.3352602,33.23701554
