TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
d_d009914,21,여,20,0,4,2,6,4,4,3,2,4,2.0,1,0,"['제주+용담2동', '제주+구좌읍', '서귀포+성산읍']"
d_d004321,22,여,40,0,2,1,3,4,6,2,2,7,7.0,2,0,"['제주+한림읍', '제주+구좌읍', '제주+조천읍']"
d_d008112,22,여,20,0,4,4,5,3,4,5,6,7,9.0,7,4,"['제주+조천읍', '제주+해안동']"
d_d000535,26,여,20,0,3,1,1,3,6,6,6,6,4.0,2,0,['제주+한림읍']
d_d003452,23,남,40,0,2,2,1,4,4,3,4,1,3.0,2,2,['서귀포+안덕면']
d_d000806,6,남,30,0,3,2,2,4,2,4,5,4,2.0,4,1,"['서귀포+안덕면', '서귀포+서귀동', '서귀포+대정읍', '제주+우도면']"
d_d001059,4,남,30,0,1,1,4,2,6,5,2,4,6.0,4,0,['서귀포+서귀동']
d_d010215,21,여,30,0,2,2,3,3,5,5,2,6,3.0,3,3,"['제주+이도일동', '제주+한림읍']"
d_d000740,2,여,40,0,4,2,3,1,6,5,3,6,2.0,1,2,"['서귀포+안덕면', '제주+우도면']"
d_d010335,22,여,30,0,4,2,4,1,1,4,6,4,2.0,2,3,['제주+한림읍']
d_d005629,3,남,40,0,4,4,4,4,4,4,4,4,2.0,1,3,"['서귀포+안덕면', '서귀포+중문동']"
d_d001287,8,남,50,0,1,2,1,6,1,1,1,7,1.0,20,0,"['서귀포+서귀동', '제주+도두일동']"
d_d000180,5,여,30,0,4,4,7,4,4,3,4,4,2.0,2,1,['제주+한림읍']
d_d003446,12,남,30,0,2,6,2,4,3,2,3,3,7.0,1,3,"['서귀포+호근동', '서귀포+토평동']"
d_d004451,22,남,20,0,2,2,1,3,2,2,2,6,2.0,2,1,['제주+이도일동']
d_d003393,1,여,20,0,1,1,1,1,1,1,1,1,4.0,5,0,['제주+일도일동']
d_d001276,23,여,20,0,5,3,3,3,6,5,5,7,9.0,3,5,"['제주+구좌읍', '제주+우도면']"
d_d004054,11,여,40,0,4,4,4,1,4,7,1,7,3.0,2,3,"['제주+구좌읍', '제주+애월읍']"
d_d003562,1,여,20,0,7,1,1,4,2,5,7,5,1.0,3,1,['서귀포+서귀동']
d_d005526,1,남,40,0,2,2,2,4,3,3,2,6,3.0,1,1,['제주+조천읍']
d_d004802,11,여,30,0,4,2,2,4,5,3,2,7,2.0,4,0,['제주+한경면']
d_d000965,1,여,30,0,6,1,2,1,6,6,1,6,8.0,2,3,"['제주+구좌읍', '제주+노형동']"
d_d000371,5,남,20,0,2,3,1,4,1,2,2,3,7.0,3,2,"['서귀포+성산읍', '제주+조천읍']"
d_d002784,6,남,30,0,2,1,1,3,2,2,2,6,3.0,2,1,['제주+애월읍']
d_d011460,1,여,20,0,2,1,1,4,7,6,1,7,2.0,6,0,['제주+한림읍']
d_d003209,21,남,30,0,1,4,1,5,7,1,1,7,6.0,2,3,['서귀포+서귀동']
d_d001784,24,남,20,0,7,1,1,4,1,4,7,1,2.0,2,0,['제주+한림읍']
d_d004325,9,여,30,0,2,1,2,2,6,4,4,5,6.0,1,0,"['제주+구좌읍', '서귀포+성산읍']"
d_d005868,1,남,20,0,2,1,2,4,4,4,3,5,2.0,2,1,['제주+애월읍']
d_d010399,21,여,20,0,3,1,3,4,6,5,3,6,1.0,1,0,['제주+용담2동']
d_d002242,24,남,50,0,1,1,2,1,2,2,4,4,3.0,4,2,"['서귀포+서귀동', '제주+구좌읍', '제주+조천읍']"
d_d010131,11,남,20,0,6,2,1,6,5,6,2,7,5.0,2,0,['서귀포+성산읍']
d_d003527,2,여,30,0,4,4,7,4,1,1,7,5,2.0,1,0,['제주+애월읍']
d_d006300,22,여,30,0,3,4,2,2,3,5,6,3,1.0,7,1,['제주+이도일동']
d_d004465,28,남,30,0,1,1,1,4,2,1,6,7,4.0,2,0,"['서귀포+안덕면', '제주+이도일동']"
d_d001850,5,남,30,0,2,2,2,3,2,4,3,4,1.0,1,1,['서귀포+중문동']
d_d000559,22,여,20,0,4,2,4,3,2,4,4,4,3.0,1,1,['서귀포+중문동']
d_d000501,1,남,50,0,2,2,1,4,5,2,6,7,2.0,1,1,"['제주+구좌읍', '제주+일도일동']"
d_d004015,6,남,40,0,5,2,3,2,2,4,2,5,3.0,1,1,['서귀포+서홍동']
d_d006228,22,남,30,0,2,2,6,3,3,6,6,6,1.0,1,0,['제주+한림읍']
d_d005062,2,여,50,0,3,4,3,4,6,4,3,2,1.0,3,2,['서귀포+상효동']
d_d010232,23,남,40,0,1,4,2,3,2,2,4,3,3.0,5,3,['서귀포+표선면']
d_d003127,2,남,20,0,2,2,1,5,1,1,1,7,7.0,1,1,['제주+구좌읍']
d_d002269,3,여,30,0,5,2,1,6,2,6,2,6,2.0,3,1,['제주+용담2동']
d_d008161,21,여,30,0,3,3,3,2,5,2,6,5,1.0,3,3,['서귀포+표선면']
d_d001811,22,남,30,0,2,6,1,6,4,6,6,2,3.0,5,1,['서귀포+성산읍']
d_d002595,28,여,30,0,4,2,1,2,4,3,4,1,4.0,1,1,['제주+조천읍']
d_d003695,2,여,20,0,4,1,1,4,4,4,6,6,2.0,1,0,['제주+연동']
d_d003994,11,남,20,0,4,1,1,4,2,6,2,6,2.0,4,1,['서귀포+동홍동']
d_d009775,6,여,20,0,1,1,1,3,6,1,7,5,2.0,1,0,['서귀포+안덕면']
d_d004161,6,남,20,0,4,4,2,5,5,5,6,3,1.0,6,0,['서귀포+서귀동']
d_d010850,27,남,40,0,2,2,1,2,2,1,1,7,3.0,1,2,['제주+구좌읍']
d_d001551,28,남,30,0,1,4,1,5,5,1,6,4,1.0,1,0,['서귀포+색달동']
