,VISIT_AREA_NM,X_COORD,Y_COORD,PHOTO_FILE_NM
0,이중섭미술관,126.564888,33.24590378,이중섭미술관3.jpg
1,천제연폭포,126.4183754,33.25267658,d00354302004p0014.jpg
2,협재해수욕장,126.2391575,33.39386608,협재해수욕장2.jpg
3,섭지코지,126.9306092,33.42393807,d00150803003p0003.jpg
4,제주동문시장,126.5283034,33.51278396,제주동문시장.jpg
5,함덕해수욕장,126.6692389,33.54306157,함덕해수욕장2.jpg
6,용두암,126.5119571,33.51611062,용두암.jpg
7,성산일출봉,126.9405375,33.45913497,d00671502003p0011.jpg
8,서귀포매일올레시장,126.5632316,33.25015006,서귀포매일올레시장4.jpg
9,목장카페 밭디,126.7722168,33.40789977,목장카페 발디.jpg
10,쇠소깍,126.6224051,33.25424607,쇠소깍3.jpg
11,해녀박물관,126.8634299,33.52357842,해녀박물관.jpg
12,김녕해수욕장,126.759314,33.55743886,김녕해수욕장.jpg
13,제주제트 중문점,126.4394519,33.23843034,제주제트 중문점.jpg
14,제주민속촌,126.8422973,33.32239595,제주민속촌.jpg
15,아르떼뮤지엄 제주,126.3450106,33.39670048,아르떼뮤지엄3.jpg
16,절물자연휴양림,126.6280113,33.43915259,절물자연휴양림.jpg
17,아쿠아플라넷 제주,126.9278459,33.43306804,d00337901002p0008.jpg
18,보문사,126.3214866,37.68881563,보문사2.jpg
19,금능해수욕장,126.2358899,33.39044882,금능해수욕장 (2).jpg
20,대정오일시장,126.2483554,33.22045762,대정오일시장.jpg
21,카멜리아힐,126.3700095,33.28963443,카멜리아힐.jpg
22,제주동문재래시장,126.5260174,33.51158514,d00675303004p0001.jpg
23,제주레포츠랜드,126.6387551,33.4820682,제주레포츠랜드.jpg
24,스누피가든,126.7796675,33.44335922,d00475603003p0002.jpg
25,노형수퍼마켙,126.4553556,33.46482488,노형수퍼마켙.jpg
26,테디베어뮤지엄 제주점,126.4121631,33.25029595,d00562003002p0007.jpg
27,신양섭지해수욕장,126.9234728,33.43510307,신양섭지해수욕장2.jpg
28,제주항공우주박물관,126.2996871,33.3042428,제주항공우주박물관.jpg
29,국립제주박물관,126.5488761,33.51359629,국립제주박물관.jpg
30,교래자연휴양림,126.6649618,33.44036149,교래자연휴양림.jpg
31,마방목지,126.603596,33.42763738,마방목지.jpg
32,중문대포주상절리대,126.4260174,33.23799399,d00475402004p0007.jpg
33,수목원테마파크,126.4882266,33.47060712,수목원테마파크 아이스뮤지엄.jpg
34,한라수목원,126.4932661,33.46978393,한라수목원2.jpg
35,에코랜드테마파크,126.6702787,33.44833873,에코랜드테마파크3.jpg
36,서프라이즈테마파크,126.6595954,33.46516535,서프라이즈테마파크.jpg
37,세계자동차&피아노박물관,126.3498145,33.28375831,d00381503004p0018.jpg
38,여미지식물원,126.4142595,33.25260678,여미지식물원2.jpg
39,하멜상선전시관,126.3137024,33.23331003,하멜상선전시관.jpg
40,신화테마파크,126.3152821,33.30475888,신화테마파크.jpg
41,비자림,126.8099875,33.49040837,d00800803002p0014.jpg
42,바이제주,126.504123,33.51657358,바이제주.jpg
43,그리스신화박물관,126.3571353,33.34861302,그리스신화박물관.jpg
44,서문공설시장,126.5179076,33.51136992,서문공설시장.jpg
45,환상숲곶자왈공원,126.2630279,33.32290672,환상숲곶자왈공원5.jpg
46,오설록티뮤지엄,126.2894893,33.30591329,오설록티뮤지엄2.jpg
47,마라도,126.2671657,33.11848091,마라도.jpg
48,9.81파크,126.366664,33.39028982,9.81파크.jpg
49,산방산 유람선,126.3352602,33.23701554,산방산 유람선4.jpg
50,이마트 신제주점,126.4803425,33.48515488,d00803006006p0001.jpg
51,만장굴,126.7693513,33.52793252,만장굴.jpg
52,제주곶자왈도립공원,126.2736585,33.28318696,d00457101002p0005.jpg
53,생각하는정원,126.2549974,33.32549871,d00176403002p0014.jpg
54,한담몰,126.3116706,33.46235224,d00356603008p0001.jpg
55,서귀포치유의숲,126.5279042,33.29193935,d00742503003p0006.jpg
56,산방산탄산온천,126.2987822,33.24902672,d00343702003p0001.jpg
57,솟솟리버스,126.5233058,33.51696264,d00011902002p0003.jpg
58,이중섭거리,129.0530081,35.14087692,이중섭거리.jpg
59,레몬뮤지엄,126.6178518,33.29885828,레몬뮤지엄.jpg
60,액티브파크,126.2360832,33.38113118,액티브파크2.jpg
61,제주아트서커스,126.3448107,33.31439218,제주아트서커스.jpg
62,액트몬 제주중문점,126.4215166,33.24368583,d00739302002p0008.jpg
63,제주동문재래야시장,126.5260174,33.51158875,제주동문재래야시장.jpg
64,제주도립김창열미술관,126.2686621,33.33906784,d00020302006p0002.jpg
65,렛츠런파크제주,126.3980766,33.40824823,렛츠런파크제주 (3).jpg
66,자구리문화예술공원,126.5673829,33.24174695,자구리문화예술공원.jpg
67,제주라프,126.7068869,33.4867741,제주라프.jpg
68,남원큰엉해변,126.70371,33.27335018,남원큰엉해변.jpg
69,귤귤스토어,126.3120263,33.46253453,귤귤스토어.jpg
70,세화해변,126.8602562,33.52514366,세화해변2.jpg
71,홈플러스 서귀포점,126.5599283,33.26048552,홈플러스 서귀포점2.jpg
72,세리월드,126.5118743,33.24701618,세리월드4.jpg
73,화순금모래해수욕장,126.3335893,33.24003243,화순금모래해수욕장.jpg
74,훈데르트바서파크,126.9565072,33.49276256,d00589202009p0013.jpg
75,한림수협,126.2615061,33.41611525,d00016903005p0001.jpg
76,우도올레보트,126.9446065,33.49676093,우도올레보트.jpg
77,하우목동항,126.9429312,33.5094818,d00236103005p0003.jpg
78,제주국제공항 JDC면세점,126.4928945,33.50696767,제주국제공항 JDC면세점2.jpg
79,약천사,126.4494585,33.24623622,d00545001005p0001.jpg
80,원앙폭포,126.5813297,33.30017689,원앙폭포.jpg
81,신화워터파크,126.3153985,33.30607406,신화워터파크.jpg
82,수목원테마파크 아이스뮤지엄,126.4883977,33.47077732,수목원테마파크 아이스뮤지엄.jpg
83,무민랜드제주,126.3817793,33.3066159,무민랜드제주.jpg
84,점보빌리지,126.3051056,33.27627648,점보빌리지.jpg
85,메이즈랜드,126.8008719,33.48825545,메이즈랜드.jpg
86,관음사,128.0165872,37.34509597,관음사.jpg
87,올레야시장,126.5628483,33.24954102,올레야시장2.jpg
88,제주실탄사격장,126.3856848,33.26367783,제주실탄사격장.jpg
89,제주현대미술관,126.265585,33.33966276,d00196702002p0006.jpg
90,김녕미로공원,126.7722353,33.53653188,김녕미로공원.jpg
91,헬로키티아일랜드,126.3520703,33.28995334,헬로키티아일랜드.jpg
92,제주코코몽에코파크,126.7058484,33.27455623,제주코코몽에코파크2.jpg
93,한림공원,126.2401849,33.38919042,d00938104008p0005.jpg
94,제주관광공사 지정면세점,126.424429,33.24134069,d00139902003p0001.jpg
95,이마트 서귀포점,126.5092014,33.2483545,이마트 서귀포점.jpg
96,뽀로로앤타요테마파크 제주,126.370822,33.30041823,뽀로로앤타요테마파크 제주2.jpg
97,신화관 제주신화월드 스카이풀,126.3160763,33.30617607,d00794703003p0005.jpg
98,돈내코유원지,126.5841333,33.30036663,돈내코유원지.jpg
99,제주특별자치도 민속자연사박물관,126.5315261,33.50634441,제주특별자치도 민속자연사박물관.jpg
100,방주교회,126.3874393,33.30504898,방주교회.jpg
101,제주추사관,126.2782213,33.24997299,d00024804002p0004.jpg
102,김영갑갤러리두모악,126.8541359,33.37189523,김영갑갤러리두모악.jpg
103,성이시돌목장,126.3273211,33.34776988,성이시돌목장.jpg
104,디앤디파트먼트 제주,126.5231886,33.51772313,디앤디파트먼트 제주.jpg
105,플레이스캠프제주,126.918209,33.44994385,d00901703010p0003.jpg
106,모이소,126.4885256,33.48709669,모이소.jpg
107,포도뮤지엄,126.3859695,33.31927276,d00191702005p0007.jpg
108,휘닉스제주섭지코지 수영장,126.926806,33.43057537,휘닉스제주섭지코지 수영장3.jpg
109,제주신라호텔 수영장,126.40804,33.24747415,d00246401005p0003.jpg
110,김서프제주,126.414994,33.25075199,김서프제주.jpg
111,붉은오름자연휴양림,126.6753618,33.40149008,붉은오름자연휴양림.jpg
112,파더스가든,126.3657532,33.27994208,파더스가든.jpg
113,서귀포유람선,126.5586449,33.23933432,서귀포유람선.jpg
114,항파두리 항몽유적지,126.4079226,33.45274787,항몽유적지.jpg
115,월정퀵서프,126.7984786,33.5547373,월정퀵서프2.jpg
116,윈드1947카트테마파크,126.5888268,33.28951947,윈드1947카트테마파크.jpg
117,제주중문관광단지,126.4207342,33.24583526,제주중문관광단지2.jpg
118,거문오름,126.7147427,33.45692229,거문오름.jpg
119,관덕정,126.5214571,33.51334915,관덕정.jpg
120,제주돌문화공원,126.6590636,33.44821824,제주돌문화공원2.jpg
121,삼성혈,126.5287631,33.50442796,d00329101010p0007.jpg
122,제주목 관아,126.5220035,33.51420236,제주목 관아.jpg
123,상효원수목원,126.584635,33.30595838,상효원수목원2.jpg
