TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
c_c011741,2210310003,1,1,,매운 어묵;핫도그;콜라,N,1,
c_c008767,2210290003,2,1,,해산물,N,5,
c_c003379,2210080007,1,2,,빙수,N,1,
c_c001571,2209030012,2,1,,호두과자,Y,5,
c_c008042,2210290003,5,1,,,,,
c_c002696,2209300002,1,0,,음료;빵,N,1,
c_c000323,2208200003,2,2,,팔토시;실리콘요리붓,N,1,
c_c013848,2211040003,5,1,,,,,
c_c012031,2210290002,3,3,,인생네컷 그리고 풍선터치기,N,1,1
c_c012084,2210290004,1,0,,블랙글레이즈드라떼1잔 르완다커피1잔,N,1,
c_c008166,2210210002,3,2,,오송까지 기차표,N,5,2
c_c002846,2210010002,7,0,,,,,
c_c001167,2208240003,3,1,,광주송정역 빛의 꽃;아트벤치 등 문화의 거리 관람,N,5,
c_c003397,2210080005,6,0,,드론영상촬영,N,5,
c_c001058,2208250008,6,1,,숙소,Y,5,
c_c011700,2210300004,4,0,,,,,
c_c003535,2210010003,4,0,,,,,
c_c001956,2209180007,2,4,,시월의무화과 1,N,5,
c_c005106,2210020006,1,0,,장칼국수,N,2,
c_c004960,2210090002,5,1,,,,,
c_c007656,2210300005,1,0,,닭볶음탕,Y,1,
c_c006459,2210270011,5,0,,,,,
c_c002454,2209270003,4,0,,,,,
c_c000569,2208200006,1,0,,갑오징어물회;회덮밥,N,1,
c_c001591,2209020002,5,1,,,,,
c_c003879,2210090002,7,0,,,,,
c_c013735,2211060001,4,3,,,,,
c_c003445,2210080003,1,1,,,,4,
c_c001856,2208280002,4,1,,,,,
c_c009696,2210310001,1,0,,생선구이정식,N,1,
c_c000074,2208140003,3,1,,세트장 관람,Y,5,1;2
c_c003605,2210300002,1,0,,커피 공주알밤빵,N,1,
c_c000221,2208170004,1,0,,손두부찌개,N,1,
c_c004627,2210290003,6,2,,등산,N,5,
c_c012060,2211010001,3,1,,월요일휴무여서 못왔던 정림사지박물관 관람. 터치스크린등 엄청 잘꾸며져있음,N,1,2
b_b012637,2210300003,2,0,,아이쇼핑,N,5,
a_a002570,2209240004,4,2,,,,,
c_c005083,2210290003,1,0,,갈릭 타코야끼 7알,N,1,
c_c004809,2210190005,7,0,,,,,
c_c008988,2210290003,1,0,,수박쥬스;사탕과일,N,1,
c_c012796,2211020002,4,0,,,,,
c_c002986,2209220006,1,0,,돼지숯불갈비4인분/비빔냉면1개/사이다1개/공기밥3개,N,1,
c_c011238,2211060002,3,0,,마곡사 입장;불교문화체험,N,1,2
c_c002037,2209080002,3,0,,쭈꾸미낚시,Y,1,1
c_c001411,2208280008,3,0,,청주읍성전시관,N,5,2
c_c007622,2210230006,2,1,,카스테라;초코파이;전병,N,5,
c_c002413,2209270004,1,0,,양갈비;오겹살;우대갈비;구이바스켓;목살;소주;된장찌게;공기밥,Y,1,
d_d010224,2211050001,1,0,,대추차;쌍화차,N,1,
c_c001250,2208200002,5,0,,,,,
c_c003242,2210020004,1,0,,콩나물국밥,N,1,
c_c009343,2210290002,3,1,,드라마 촬영장소 보고 사진찍기,N,1,2
c_c012439,2211050003,4,0,,,,,
c_c003404,2210160006,7,0,,,,,
c_c003191,2210010008,7,0,,,,,
c_c003718,2210160002,1,0,,도시락,Y,4,
c_c005393,2210080003,3,0,,뻘배 체험 및 관람,N,5,1;2
c_c005893,2210160005,5,3,,,,,
c_c012472,2211040002,5,0,,,,,
c_c002835,2210030001,4,0,,,,,
c_c000963,2209030005,4,1,,,,,
c_c011164,2210290004,7,0,,,,,
c_c012492,2211020004,1,0,,소프트 아이스크림;애플망고 에이드,N,1,
c_c006113,2210200005,5,1,,,,,
c_c013613,2211060003,1,0,,커피 카스테라,N,1,
c_c012168,2211040010,2,0,,우리밀 초코파이;크림치즈 초코파이;화이트 초코파이;오리지널 초코파이,N,1,
c_c010850,2211050003,3,0,,중앙탑석탑 관람,N,5,2
c_c002719,2209240001,7,0,,,,,
c_c014247,2211090004,1,0,,콩나물국밥,N,1,
c_c002554,2209240004,1,3,,순대국밥,N,1,
c_c009562,2210310004,1,0,,돌문어삼합;해물라면,N,1,
c_c006871,2210210004,4,0,,,,,
c_c006720,2210180009,5,0,,,,,
c_c003318,2210290004,1,0,,커피,N,1,
c_c000978,2208200004,4,1,,,,,
c_c014104,2211060005,2,0,,빵(커피번;크림치즈빵);김밥 등 먹거리,N,5,
c_c002752,2209240002,4,1,,,,,
c_c001982,2209080002,5,0,,공주밤빵 식혜2,Y,5,
c_c006676,2210220005,4,0,,,,,
c_c003423,2210020002,1,0,,쫄복탕;쫄복지리탕,N,1,
c_c005174,2210020005,3,0,,버블풀파티 티켓 구매,N,1,1
c_c001896,2209090002,1,2,,커피 아이스티 한라봉쥬스,N,2,
d_d003718,2210290003,99,0,,,,,
c_c007409,2210270004,5,1,,,,,
c_c012993,2211060004,1,0,,즉석라면,N,1,
c_c001710,2208280002,2,0,,춘식이 시리얼볼,N,1,
c_c012243,2210290004,4,1,,,,,
c_c013244,2211030010,2,0,,빵,N,5,
c_c011353,2210290006,2,1,,모다아울렛 아이쇼핑(나이키;노스페이스;언더아머),N,5,
c_c006072,2210170004,4,2,,,,,
c_c002812,2209230005,1,0,,백련정식;산수유막걸리,N,1,
c_c000217,2208220007,4,0,,,,,
c_c003361,2210100003,1,0,,꼬막정식,N,1,
c_c012580,2210310004,1,0,,소고기국밥;떡라면; 돈까스,N,1,
c_c011799,2210310004,1,0,,아메리카노 1잔,N,1,
c_c005706,2210080003,4,0,,,,,
c_c000523,2208280010,2,0,,김부각.칫솔.맛살,N,1,
c_c002293,2209180008,1,0,,치즈돈까스;오징어덮밥;야채튀김,N,1,
c_c002359,2209120007,1,0,,육전,N,1,
c_c008653,2210260005,3,1,,다도체험(안개철관음 마시는방법 및 도구사용법),N,5,1
c_c006593,2210140010,7,0,,,,,
c_c011924,2211040003,3,0,,모노레일탑승,N,1,1
c_c002560,2209240001,4,0,,,,,
c_c005657,2210150006,3,0,,패러글라이딩(패러이야기) 네이버로 사전예약(9만원) 사후결재(15만원) 총 24만원(고프로 영상 및 사진인화 포함),Y,1,1
c_c006593,2210140007,4,0,,,,,
c_c011665,2211020004,4,1,,,,,
c_c000180,2208060004,4,1,,,,,
c_c000865,2208290002,3,0,,물놀이,Y,5,1;2
c_c002369,2209250003,5,0,,,,,
c_c003696,2210010004,5,1,,,,,
c_c001799,2208310005,1,0,,꼬막 정식,Y,1,
c_c000949,2208230006,1,0,,오리로스 곤드레(물냉면),N,1,
c_c003111,2209230012,5,0,,,,,
c_c002234,2209170003,4,1,,,,,
c_c008758,2210250009,4,1,,,,,
c_c013105,2211050006,5,0,,,,,
c_c000226,2208060003,4,0,,,,,
c_c000804,2208270006,5,0,,,,,
c_c005379,2210180005,4,2,,,,,
c_c003688,2210160004,1,0,,부대찌개,N,1,
c_c007854,2210290007,5,0,,,,,
c_c003286,2209280004,1,0,,밀크티 에그타르트 비엔나커피,N,1,
c_c003340,2210100002,1,1,,호두과자;델리만쥬;커피,N,1,
c_c006758,2210220002,5,2,,,,,
c_c002873,2210020001,3,10,,전통그네타기,N,5,1
c_c008721,2210230003,3,0,,꽃구경;사진찍기,N,1,2
c_c009322,2210300005,4,1,,,,,
c_c002527,2209260014,2,0,,카드,N,1,
c_c002719,2209240008,5,0,,,,,
c_c012284,2211050007,7,0,,,,,
c_c000132,2208210004,4,1,,,,,
c_c006673,2210270004,4,0,,,,,
c_c012644,2211060004,4,1,,,,,
c_c001781,2208270004,1,0,,오겹살;항정살;파절이비빔밥,N,1,
c_c006640,2210140002,1,0,,도너츠,N,1,
c_c013247,2211040004,1,0,,아이스크림,N,1,
c_c000026,2208170001,3,0,,궁남지 산책,Y,5,2
c_c008819,2210260003,1,0,,아이스 아메리카노,N,1,
a_a001707,2210130003,1,0,,우거지해장국,N,1,
c_c002855,2210020001,1,0,,커피,N,1,
c_c000465,2208200003,1,0,,순천슈페너;카페라떼;캐모마일;바닐라 아이스크림 크로플,N,1,
c_c002163,2209210003,3,0,,박물관,N,1,2
c_c012013,2210290008,4,0,,,,,
c_c000296,2208270004,1,0,,수채화 에이드;아이스 카페라떼,N,1,
c_c003147,2209260007,3,0,,민속놀이(투호던지기;그네 등)을 체험 할 수 있었고 과거 옛모습을 간직하고 있는 전통마을이여서 과거 조상들의 생활상과 건축양식을 엿볼 수 있었다. 그리고 낙안읍성마을에는 실제로 주민들이 거주중이여서 농사짓는 모습과 돌담 정비 등을 하는 모습을 볼 수 있었다. 그리고 각종 체험(두부제조;전통목판화 등)을 운영하는 집도 있어서 나는 해보진 못했지만 미리 예약을 하고 가면 체험을 해볼 수 있을듯 하다.,Y,1,1;2
c_c000290,2208210005,1,0,,아이스크림,N,1,
c_c003920,2210010006,5,2,,,,,
c_c006146,2210220004,4,0,,,,,
c_c009562,2210300002,1,0,,건봉국밥;술;과자,Y,2,
c_c001296,2208290006,1,0,,누룽지 닭백숙,Y,4,
c_c006759,2210300007,4,0,,,,,
c_c004812,2210010004,5,3,,,,,
c_c001296,2208280006,3,0,,습지와 갈대밭 노을 관람,N,5,2
c_c003068,2210030005,2,0,,슈크림빵,N,1,
c_c000170,2208260006,5,3,,,,,
c_c000759,2209050002,2,0,,딸기모찌,N,5,
c_c002264,2209140010,1,0,,안심카츠와 생맥주,N,1,
c_c003268,2210080009,6,0,,주차,N,1,
c_c000606,2208290002,5,0,,,,,
c_c000132,2208200005,1,0,,칼국수;콩국수,N,1,
c_c014202,2211130002,4,1,,,,,
c_c000118,2208090004,1,0,,안심카츠;치즈카츠;안심×등심카츠,N,1,
c_c001609,2209020003,1,0,,시드니월남쌈,Y,1,
c_c011643,2211010002,2,5,,18:20 선물용 단감 구매했습니다,N,1,
c_c013208,2211060005,2,0,,한복대여,N,1,
c_c000631,2208230006,2,0,,갓참치김밥 계란김밪,N,5,
c_c001468,2209080004,4,0,,,,,
c_c013282,2211030002,5,2,,,,,
c_c000569,2208210002,6,3,,플로킹여행;등반여행,N,5,
c_c003472,2210030007,2,0,,마늘굴림만두 고기6;김치6,N,1,
c_c009088,2210300007,3,0,,배팅볼 야구게임,N,1,1
c_c002915,2209230002,1,0,,삼겹살,Y,2,
c_c008139,2210220003,4,0,,,,,
c_c005721,2210080007,1,0,,산채비빔밥;돌솥바빔밥;도토리묵;파전,N,1,
c_c009932,2210300010,6,0,,화장실,N,5,
c_c000271,2208230006,5,0,,,,,
c_c012200,2211030003,5,2,,,,,
c_c009353,2210290002,3,0,,상하농원 입장,N,1,2
c_c001111,2209030007,2,1,,갓김치파김치등,N,1,
c_c001060,2208250006,1,0,,술;과자,Y,2,
c_c000997,2208190002,5,0,,,,,
