TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
c_c001903,2209290002,,2209290002,,2022-09-29 15:30:00.000,1,
c_c002151,2209100005,,2209100005,,2022-09-10 12:00:00.000,1,
c_c001571,2209030013,,2209030013,,2022-09-03 20:00:00.000,1,
c_c002834,2209240009,,2209240009,,2022-09-24 15:30:00.000,4,
c_c002078,2209170004,,2209170004,,2022-09-17 13:30:00.000,1,
c_c007866,2210290001,2210290001,,2022-10-29 10:30:00.000,,,
c_c003070,2210010002,,2210010002,,2022-10-01 11:30:00.000,15,
c_c000871,2208220003,,2208220003,,2022-08-22 13:30:00.000,15,
c_c003552,2210090003,,2210090003,,2022-10-09 14:30:00.000,2,
c_c009059,2210220003,,2210220003,,2022-10-22 10:00:00.000,1,
c_c008905,2210250003,,2210250003,,2022-10-25 15:30:00.000,1,
c_c001870,2208250007,,2208250007,,2022-08-25 15:30:00.000,15,
c_c001167,2208240006,,2208240006,,2022-08-24 19:30:00.000,4,15
c_c001924,2209220006,,2209220006,,2022-09-22 18:30:00.000,1,
c_c000809,2208230005,,2208230005,,2022-08-23 14:00:00.000,1,
c_c003122,2209260002,,2209260002,,2022-09-26 12:30:00.000,4,
c_c010026,2210280006,,2210280006,,2022-10-28 14:00:00.000,7,
c_c001943,2209170001,2209170001,,2022-09-17 12:00:00.000,,,
c_c003028,2210020002,,2210020002,,2022-10-02 10:30:00.000,15,
c_c001060,2208260003,,2208260003,,2022-08-26 13:30:00.000,1,
c_c011450,2210300004,,2210300004,,2022-10-30 12:00:00.000,15,
c_c013811,2211040005,,2211040005,,2022-11-04 14:30:00.000,15,
c_c003345,2210060002,,2210060002,,2022-10-06 11:00:00.000,4,
c_c011282,2210290004,,2210290004,,2022-10-29 20:00:00.000,1,15
c_c001625,2208200003,,2208200003,,2022-08-20 09:00:00.000,1,
c_c003092,2209240003,,2209240003,,2022-09-24 12:00:00.000,2,
c_c000340,2209010007,,2209010007,,2022-09-01 22:00:00.000,14,15
c_c002740,2209240001,,2209240001,,2022-09-24 09:00:00.000,13,
c_c013620,2211050002,,2211050002,,2022-11-05 13:00:00.000,2,
c_c012182,2211010007,,2211010007,,2022-11-01 15:30:00.000,15,
c_c002344,2209250003,,2209250003,,2022-09-25 15:00:00.000,15,
c_c013723,2211060008,,2211060008,,2022-11-06 19:00:00.000,5,
c_c014420,2211120002,,2211120002,,2022-11-12 21:00:00.000,1,1
c_c007458,2210290003,,2210290003,,2022-10-29 13:00:00.000,1,
c_c014191,2211100005,,2211100005,,2022-11-10 17:30:00.000,1,14
c_c003187,2210020001,,2210020001,,2022-10-02 09:00:00.000,1,
c_c003928,2210160004,,2210160004,,2022-10-16 18:00:00.000,1,
c_c000104,2208060002,,2208060002,,2022-08-06 07:30:00.000,1,
c_c002354,2209070002,,2209070002,,2022-09-07 19:30:00.000,15,
c_c002060,2209180002,,2209180002,,2022-09-18 11:30:00.000,1,
c_c013406,2211060002,,2211060002,,2022-11-06 11:00:00.000,14,
c_c001158,2208200011,,2208200011,,2022-08-20 23:00:00.000,15,
c_c004689,2210050002,,2210050002,,2022-10-05 13:00:00.000,1,
c_c005248,2210290004,,2210290004,,2022-10-29 12:30:00.000,1,
c_c006421,2210230006,,2210230006,,2022-10-23 18:30:00.000,1,
c_c013109,2211060003,,2211060003,,2022-11-06 10:30:00.000,15,
c_c003030,2210010004,,2210010004,,2022-10-01 22:30:00.000,1,15
a_a000273,2209220004,,2209220004,,2022-09-22 14:00:00.000,1,
c_c003666,2210150001,2210150001,,2022-10-15 10:30:00.000,,,
c_c009822,2210300001,2210300001,,2022-10-30 10:00:00.000,,,
c_c003498,2210010004,,2210010004,,2022-10-01 15:30:00.000,1,
c_c003620,2210030001,,2210030001,,2022-10-03 14:00:00.000,1,1
c_c011686,2210290005,,2210290005,,2022-10-29 13:00:00.000,15,
c_c000234,2208070002,,2208070002,,2022-08-07 10:30:00.000,1,
c_c010948,2210290001,2210290001,,2022-10-29 10:00:00.000,,,
c_c014280,2211110003,,2211110003,,2022-11-11 12:30:00.000,1,
c_c002941,2209260006,,2209260006,,2022-09-26 15:00:00.000,15,
c_c002234,2209180006,,2209180006,,2022-09-18 17:00:00.000,1,1
c_c004357,2210020001,2210020001,,2022-10-02 05:30:00.000,,,
c_c001906,2209300004,,2209300004,,2022-09-30 17:30:00.000,1,
c_c004354,2210060004,,2210060004,,2022-10-06 13:00:00.000,1,
c_c001616,2208260001,2208260001,,2022-08-26 11:00:00.000,,,
c_c002823,2209220007,,2209220007,,2022-09-22 14:30:00.000,15,
c_c003010,2209260006,,2209260006,,2022-09-26 12:00:00.000,4,
c_c002712,2209300010,,2209300010,,2022-09-30 20:00:00.000,13,15
c_c004663,2210080001,2210080001,,2022-10-08 09:30:00.000,,,
c_c009192,2210240001,2210240001,,2022-10-24 07:00:00.000,,,
c_c002905,2209240004,,2209240004,,2022-09-24 16:00:00.000,1,
c_c011871,2210280005,,2210280005,,2022-10-28 22:00:00.000,15,
c_c002210,2209140002,,2209140002,,2022-09-14 11:00:00.000,1,
c_c009789,2210300015,,2210300015,,2022-10-30 22:30:00.000,1,
c_c009358,2211050001,2211050001,,2022-11-05 08:00:00.000,,,
c_c011665,2211010005,,2211010005,,2022-11-01 13:30:00.000,13,
c_c010098,2210290002,,2210290002,,2022-10-29 10:00:00.000,4,13
c_c002593,2209170002,,2209170002,,2022-09-17 05:00:00.000,1,
c_c007543,2210290005,,2210290005,,2022-10-29 15:00:00.000,15,
c_c009493,2210290001,2210290001,,2022-10-29 09:30:00.000,,,
c_c001571,2209020006,,2209020006,,2022-09-02 17:00:00.000,15,
c_c013354,2211050002,,2211050002,,2022-11-05 11:30:00.000,1,
c_c013547,2211040001,2211040001,,2022-11-04 10:00:00.000,,,
c_c009387,2211050004,,2211050004,,2022-11-05 13:00:00.000,1,
c_c002774,2210020001,2210020001,,2022-10-02 12:00:00.000,,,
c_c006400,2210300005,,2210300005,,2022-10-30 22:30:00.000,1,
c_c012881,2211060005,,2211060005,,2022-11-06 17:30:00.000,1,
c_c005636,2210230007,,2210230007,,2022-10-23 21:00:00.000,1,
c_c003135,2210010010,,2210010010,,2022-10-01 21:00:00.000,1,
c_c002849,2210020001,,2210020001,,2022-10-02 11:30:00.000,1,
c_c009165,2210240006,,2210240006,,2022-10-24 15:30:00.000,1,
c_c001977,2209180001,,2209180001,,2022-09-18 11:30:00.000,2,
c_c010844,2210290005,,2210290005,,2022-10-29 12:30:00.000,1,
c_c013461,2211030013,,2211030013,,2022-11-03 21:00:00.000,5,
c_c000026,2208160005,,2208160005,,2022-08-16 14:30:00.000,15,
c_c007656,2210310006,,2210310006,,2022-10-31 16:00:00.000,1,1
c_c002924,2209230011,,2209230011,,2022-09-23 21:00:00.000,8,
c_c003456,2209270001,2209270001,,2022-09-27 07:00:00.000,,,
c_c009390,2211010009,,2211010009,,2022-11-01 16:30:00.000,1,
c_c001617,2209030004,,2209030004,,2022-09-03 11:30:00.000,13,
c_c002302,2209170005,,2209170005,,2022-09-17 03:30:00.000,1,
c_c013810,2211050010,,2211050010,,2022-11-05 18:30:00.000,1,
c_c004627,2210290001,2210290001,,2022-10-29 08:30:00.000,,,
c_c001591,2209040003,,2209040003,,2022-09-04 12:00:00.000,2,
c_c006520,2210190001,,2210190001,,2022-10-19 10:30:00.000,15,
c_c002413,2209290004,,2209290004,,2022-09-29 08:00:00.000,15,
c_c008993,2211040012,,2211040012,,2022-11-04 04:00:00.000,7,
a_a007780,2211050004,,2211050004,,2022-11-05 14:30:00.000,15,
c_c005079,2210130003,,2210130003,,2022-10-13 16:00:00.000,1,
c_c000055,2208070004,,2208070004,,2022-08-07 14:30:00.000,4,
c_c001229,2211010005,,2211010005,,2022-11-01 11:00:00.000,15,15
c_c011395,2210300002,,2210300002,,2022-10-30 12:00:00.000,1,
c_c007854,2210300006,,2210300006,,2022-10-30 17:30:00.000,12,15
c_c002989,2210030003,,2210030003,,2022-10-03 15:00:00.000,1,
c_c002620,2209230006,,2209230006,,2022-09-23 15:00:00.000,1,
c_c009375,2211030004,,2211030004,,2022-11-03 12:30:00.000,1,
