TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c002876,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,60000,
c_c008878,50,교통비,0,버스 + 지하철,2,,,,,2700,
c_c010913,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,24400,
c_c006778,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,35000,
c_c004739,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,15000,
c_c011860,4,교통비,0,택시,2,,,,,17000,
c_c002339,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,60000,
c_c003247,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50870,
c_c005323,7,교통비,0,KTX/SRT(고속열차),1,,,,,37100,기차표
c_c000559,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,122751,
c_c002587,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,50000,
c_c011753,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,50000,
c_c008164,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,2000,
c_c003302,2,렌탈비,2,렌터카(승용/승합/버스 등등),3,2208791595,(주)그린카,2022-10-08 20:31:00.000,1,118760,렌트비
c_c009301,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,8000,
c_c013343,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,16600,
c_c010844,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c012487,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,32000,
c_c002545,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,80000,
c_c003101,1,주유비,11,자가용(승용/승합/트럭 등등),1,2098157832,(주)성북주유소,2022-09-24 10:01:00.000,1,28000,주유비
c_c000045,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,200000,
c_c005919,2,렌탈비,0,렌터카(승용/승합/버스 등등),1,,,,,45880,
c_c008688,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,35000,
c_c005614,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c007880,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c002537,1,주차비,11,자가용(승용/승합/트럭 등등),4,4188206007,비보이광장주차장,2022-10-01 19:23:00.000,1,4000,주차비
c_c001101,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,68600,
c_c002834,4,교통비,4,택시,4,4188102284,삼화교통(주),2022-09-24 00:00:00.000,1,4500,택시비
c_c000049,8,교통비,0,새마을/무궁화열차,2,,,,,79600,기차표
c_c001807,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,28800,
c_c013531,12,교통비,3,시외/고속버스,1,,,2022-11-03 19:50:00.000,1,22900,버스비
c_c002024,4,교통비,1,택시,2,4022426798,개인택시,2022-09-11 10:26:00.000,1,7500,택시비
c_c001951,16,교통비,0,기타,2,,,,,5000,
c_c003726,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,80000,
c_c003093,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,5000,
c_c009192,50,교통비,0,버스 + 지하철,1,,,,,6750,
c_c002861,4,교통비,2,택시,2,3040378056,개인택시,2022-09-24 12:14:00.000,1,5000,택시비
c_c002212,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c002264,4,교통비,0,택시,1,,,,,53900,
c_c004435,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,70000,
c_c004435,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,13800,
c_c006726,50,교통비,0,버스 + 지하철,1,,,,,48800,
c_c000004,1,주차비,0,자가용(승용/승합/트럭 등등),5,,,,,2000,
c_c005430,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,4500,
c_c002195,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c004658,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,70000,
c_c006216,50,교통비,0,버스 + 지하철,2,,,,,12000,
c_c011995,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,50000,
c_c010904,8,교통비,1,새마을/무궁화열차,1,3148210024,한국철도공사,2022-11-06 12:59:00.000,1,9000,기차표 
c_c011240,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,20000,
c_c014140,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,3100,
c_c006566,7,교통비,3,KTX/SRT(고속열차),1,3148210024,한국철도공사,2022-10-14 13:27:00.000,1,31200,기차표 
c_c013631,4,교통비,0,택시,1,,,,,9800,
c_c001051,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,40000,
c_c000333,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,70000,
c_c013408,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,80000,
c_c006854,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,3400,
c_c004405,16,교통비,0,기타,1,,,,,15000,
c_c000082,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,1400,
c_c001114,1,통행료,0,자가용(승용/승합/트럭 등등),10,,,,,25600,
c_c009576,4,교통비,1,택시,2,4092128684,개인택시,2022-10-30 12:16:00.000,1,5900,택시비
c_c002354,8,교통비,0,새마을/무궁화열차,2,,,,,74800,기차표
c_c005733,50,교통비,0,버스 + 지하철,1,,,,,2700,
c_c004276,50,교통비,0,버스 + 지하철,2,,,,,22000,
c_c008863,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,10500,
c_c002200,50,교통비,0,버스 + 지하철,1,,,,,8000,
c_c003800,4,교통비,1,택시,4,3040523614,개인택시,2022-10-04 15:28:00.000,1,73700,택시비
c_c006486,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,3000,
c_c008731,50,교통비,0,버스 + 지하철,1,,,,,6250,
c_c001956,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,2000,
c_c009628,4,교통비,1,택시,1,,,2022-10-29 19:57:00.000,1,7400,택시비
c_c001311,10,교통비,11,배/선박,4,3088132007,(자)부여유람선,2022-09-02 11:21:00.000,1,24000,승선권편도/성인
c_c003980,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,35500,
c_c009182,50,교통비,0,버스 + 지하철,2,,,,,100400,
c_c002359,7,교통비,0,KTX/SRT(고속열차),1,,,,,69200,기차표
c_c000465,2,주유비,0,렌터카(승용/승합/버스 등등),3,,,,,30000,
c_c002083,8,교통비,1,새마을/무궁화열차,1,3148210024,한국철도공사,2022-09-15 13:58:00.000,1,15100,기차표 
