TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
d_d006378,2210180009,,2210180009,,2022-10-18 19:00:00.000,2,
d_d004325,2210090001,2210090001,,2022-10-09 08:30:00.000,,,
d_d000090,2208160006,,2208160006,,2022-08-16 16:30:00.000,2,
d_d006824,2210290001,2210290001,,2022-10-29 18:00:00.000,,,
d_d001676,2209260002,,2209260002,,2022-09-26 11:00:00.000,2,
d_d002269,2210090003,,2210090003,,2022-10-09 16:00:00.000,15,
d_d005892,2210130004,,2210130004,,2022-10-13 14:00:00.000,2,
d_d004065,2210150002,,2210150002,,2022-10-15 12:30:00.000,16,
d_d003951,2210290006,,2210290006,,2022-10-29 14:00:00.000,15,
d_d000593,2208270003,,2208270003,,2022-08-27 19:30:00.000,2,
d_d006390,2210160001,,2210160001,,2022-10-16 22:00:00.000,2,
d_d005976,2210140003,,2210140003,,2022-10-14 13:00:00.000,1,
d_d001765,2209270001,,2209270001,,2022-09-27 11:00:00.000,2,
d_d007060,2210290001,2210290001,,2022-10-29 13:00:00.000,,,
d_d012321,2211120005,,2211120005,,2022-11-12 18:30:00.000,1,
d_d009091,2210290008,,2210290008,,2022-10-29 16:30:00.000,2,
a_a000406,2208290005,,2208290005,,2022-08-29 17:00:00.000,1,
d_d001078,2208240006,,2208240006,,2022-08-24 13:00:00.000,15,
d_d005868,2210140001,,2210140001,,2022-10-14 11:30:00.000,2,
d_d001535,2209250003,,2209250003,,2022-09-25 13:30:00.000,2,
c_c001669,2209030002,,2209030002,,2022-09-03 12:00:00.000,1,
d_d001429,2209180006,,2209180006,,2022-09-18 13:30:00.000,1,
d_d009998,2211020001,2211020001,,2022-11-02 10:00:00.000,,,
d_d001916,2210080007,,2210080007,,2022-10-08 20:00:00.000,2,
d_d008992,2210270011,,2210270011,,2022-10-27 18:00:00.000,2,
d_d000352,2208270006,,2208270006,,2022-08-27 14:00:00.000,2,
d_d002701,2210140002,,2210140002,,2022-10-14 14:00:00.000,2,
d_d009350,2211030005,,2211030005,,2022-11-03 20:30:00.000,9,
d_d003746,2210190010,,2210190010,,2022-10-19 20:30:00.000,15,
a_a001299,2209030002,,2209030002,,2022-09-03 12:00:00.000,15,
d_d000283,2208230004,,2208230004,,2022-08-23 21:30:00.000,15,
d_d000455,2208240003,,2208240003,,2022-08-24 12:30:00.000,2,
d_d000615,2208180003,,2208180003,,2022-08-18 14:00:00.000,13,
c_c000505,2209090001,,2209090001,,2022-09-09 17:00:00.000,1,
d_d001542,2209220007,,2209220007,,2022-09-22 18:30:00.000,2,
d_d001937,2209280005,,2209280005,,2022-09-28 09:30:00.000,15,
d_d001221,2209170002,,2209170002,,2022-09-17 13:00:00.000,2,
d_d002419,2210060003,,2210060003,,2022-10-06 13:00:00.000,2,
a_a000406,2208280006,,2208280006,,2022-08-28 13:00:00.000,1,
d_d007674,2210300004,,2210300004,,2022-10-30 19:30:00.000,1,
d_d010383,2211020007,,2211020007,,2022-11-02 13:30:00.000,2,
a_a003610,2210140001,,2210140001,,2022-10-14 10:00:00.000,15,
d_d009921,2211040008,,2211040008,,2022-11-04 19:30:00.000,1,
d_d001502,2209240008,,2209240008,,2022-09-24 20:00:00.000,2,
d_d001355,2209150005,,2209150005,,2022-09-15 14:00:00.000,4,
d_d003163,2210280001,2210280001,,2022-10-28 20:30:00.000,,,
d_d002048,2210130005,,2210130005,,2022-10-13 19:30:00.000,15,13
d_d001423,2209260002,,2209260002,,2022-09-26 10:30:00.000,13,5
b_b001010,2208190003,,2208190003,,2022-08-19 18:00:00.000,1,
d_d000247,2208230001,,2208230001,,2022-08-23 12:00:00.000,4,10
d_d009822,2211060005,,2211060005,,2022-11-06 15:30:00.000,9,
c_c003762,2210150001,2210150001,,2022-10-15 09:30:00.000,,,
d_d000811,2209040002,,2209040002,,2022-09-04 15:00:00.000,2,
d_d003304,2210070006,,2210070006,,2022-10-07 15:30:00.000,1,1
d_d005560,2210260004,,2210260004,,2022-10-26 15:00:00.000,2,
b_b002204,2208210005,,2208210005,,2022-08-21 15:00:00.000,15,
a_a004840,2210210001,2210210001,,2022-10-21 10:30:00.000,,,
d_d009973,2210290004,,2210290004,,2022-10-29 19:00:00.000,15,
d_d001967,2210090003,,2210090003,,2022-10-09 10:30:00.000,15,
d_d003802,2210200003,,2210200003,,2022-10-20 12:30:00.000,1,1
d_d006214,2210160001,,2210160001,,2022-10-16 15:00:00.000,1,
d_d002115,2210070002,,2210070002,,2022-10-07 10:00:00.000,2,
d_d003736,2210270002,,2210270002,,2022-10-27 10:30:00.000,2,
a_a006367,2210080011,,2210080011,,2022-10-08 17:30:00.000,13,
d_d003156,2210030006,,2210030006,,2022-10-03 11:30:00.000,2,
d_d002015,2210170007,,2210170007,,2022-10-17 16:30:00.000,2,
d_d010492,2211050003,,2211050003,,2022-11-05 12:00:00.000,15,
d_d004905,2210120002,,2210120002,,2022-10-12 21:00:00.000,9,12
d_d001761,2210290004,,2210290004,,2022-10-29 18:30:00.000,2,
a_a001445,2209040001,,2209040001,,2022-09-04 14:00:00.000,1,
d_d006189,2210280004,,2210280004,,2022-10-28 10:00:00.000,2,
d_d001435,2209130008,,2209130008,,2022-09-13 22:30:00.000,16,
b_b000212,2208130003,,2208130003,,2022-08-13 21:00:00.000,1,
a_a006269,2210080004,,2210080004,,2022-10-08 16:00:00.000,1,
d_d007038,2210290001,2210290001,,2022-10-29 12:30:00.000,,,
d_d004906,2210230001,,2210230001,,2022-10-23 11:00:00.000,2,
d_d000219,2208200002,,2208200002,,2022-08-20 10:30:00.000,2,
d_d004638,2211020004,,2211020004,,2022-11-02 18:00:00.000,15,
d_d003036,2210120002,,2210120002,,2022-10-12 20:00:00.000,1,15
d_d001998,2210290004,,2210290004,,2022-10-29 13:00:00.000,2,
d_d000767,2208260002,,2208260002,,2022-08-26 14:00:00.000,2,
d_d007759,2210260003,,2210260003,,2022-10-26 12:30:00.000,2,
d_d001523,2209300003,,2209300003,,2022-09-30 11:00:00.000,2,
d_d010686,2211060005,,2211060005,,2022-11-06 13:00:00.000,1,
c_c002687,2209240006,,2209240006,,2022-09-24 18:30:00.000,1,
a_a000159,2208150003,,2208150003,,2022-08-15 15:30:00.000,1,
d_d009414,2211050003,,2211050003,,2022-11-05 14:30:00.000,2,
d_d002798,2210200001,,2210200001,,2022-10-20 11:30:00.000,2,
b_b000140,2208140004,,2208140004,,2022-08-14 15:00:00.000,1,
d_d005129,2210130001,2210130001,,2022-10-13 16:00:00.000,,,
d_d000685,2208250001,,2208250001,,2022-08-25 10:30:00.000,2,4
d_d006848,2210200004,,2210200004,,2022-10-20 12:00:00.000,1,
d_d001993,2210090005,,2210090005,,2022-10-09 16:00:00.000,2,
b_b004897,2210090002,,2210090002,,2022-10-09 18:00:00.000,1,
d_d000324,2208210001,,2208210001,,2022-08-21 11:30:00.000,2,
d_d006139,2210270002,,2210270002,,2022-10-27 22:30:00.000,9,
d_d001533,2209300001,2209300001,,2022-09-30 10:30:00.000,,,
d_d005892,2210120010,,2210120010,,2022-10-12 16:00:00.000,10,
d_d003563,2210230006,,2210230006,,2022-10-23 14:00:00.000,11,
d_d004444,2210140004,,2210140004,,2022-10-14 17:00:00.000,9,4
d_d009786,2211050005,,2211050005,,2022-11-05 20:00:00.000,15,
d_d006917,2210290001,2210290001,,2022-10-29 09:30:00.000,,,
d_d009295,2211010003,,2211010003,,2022-11-01 12:00:00.000,15,
d_d009199,2210280003,,2210280003,,2022-10-28 23:00:00.000,15,
d_d001794,2210050013,,2210050013,,2022-10-05 10:30:00.000,16,
b_b001937,2208190008,,2208190008,,2022-08-19 18:30:00.000,15,
b_b006786,2210190015,,2210190015,,2022-10-19 22:30:00.000,5,
d_d002055,2210140007,,2210140007,,2022-10-14 18:00:00.000,2,
d_d009914,2211010003,,2211010003,,2022-11-01 11:00:00.000,15,
d_d001220,2209260001,,2209260001,,2022-09-26 10:30:00.000,2,
d_d002318,2210210011,,2210210011,,2022-10-21 21:00:00.000,2,
d_d007013,2210240001,,2210240001,,2022-10-24 10:00:00.000,1,
c_c002634,2209230004,,2209230004,,2022-09-23 16:00:00.000,2,
b_b003850,2210010007,,2210010007,,2022-10-01 15:00:00.000,15,
d_d004201,2210170005,,2210170005,,2022-10-17 15:30:00.000,2,
a_a004869,2210010003,,2210010003,,2022-10-01 12:00:00.000,1,
d_d007584,2210250004,,2210250004,,2022-10-25 20:30:00.000,4,
d_d010336,2211050003,,2211050003,,2022-11-05 12:30:00.000,2,
d_d001558,2209220004,,2209220004,,2022-09-22 13:00:00.000,2,
d_d000538,2208230002,,2208230002,,2022-08-23 12:00:00.000,2,
d_d012394,2211110004,,2211110004,,2022-11-11 18:30:00.000,1,
d_d001799,2210010004,,2210010004,,2022-10-01 13:00:00.000,2,
c_c000269,2208290004,,2208290004,,2022-08-29 13:00:00.000,1,
d_d010582,2211030004,,2211030004,,2022-11-03 15:00:00.000,2,
d_d006359,2210230003,,2210230003,,2022-10-23 12:00:00.000,1,
d_d005976,2210130003,,2210130003,,2022-10-13 10:00:00.000,1,
d_d001305,2209270003,,2209270003,,2022-09-27 11:30:00.000,2,
d_d005410,2210120002,,2210120002,,2022-10-12 20:30:00.000,5,9
d_d000565,2208190006,,2208190006,,2022-08-19 16:30:00.000,2,
d_d002985,2210300003,,2210300003,,2022-10-30 15:00:00.000,2,
d_d000946,2208240006,,2208240006,,2022-08-24 12:30:00.000,1,15
d_d006277,2210290002,,2210290002,,2022-10-29 13:30:00.000,1,
c_c003169,2210010003,,2210010003,,2022-10-01 13:30:00.000,1,
d_d003065,2210120001,2210120001,,2022-10-12 04:30:00.000,,,
d_d001224,2209210001,2209210001,,2022-09-21 19:30:00.000,,,
d_d001159,2209250002,,2209250002,,2022-09-25 19:00:00.000,4,
d_d001380,2209210001,2209210001,,2022-09-21 10:00:00.000,,,
d_d000676,2209040003,,2209040003,,2022-09-04 12:30:00.000,2,
d_d001892,2210090005,,2210090005,,2022-10-09 08:00:00.000,16,
d_d005246,2210130001,,2210130001,,2022-10-13 11:00:00.000,1,
d_d000219,2208210010,,2208210010,,2022-08-21 20:00:00.000,2,
d_d001457,2209260003,,2209260003,,2022-09-26 15:30:00.000,16,
d_d009696,2211040009,,2211040009,,2022-11-04 22:30:00.000,16,
d_d001863,2210040001,2210040001,,2022-10-04 07:30:00.000,,,
d_d007390,2210280003,,2210280003,,2022-10-28 12:30:00.000,15,
c_c004645,2210020001,2210020001,,2022-10-02 05:00:00.000,,,
b_b001981,2208210005,,2208210005,,2022-08-21 16:30:00.000,1,
d_d002522,2210120004,,2210120004,,2022-10-12 17:30:00.000,4,
d_d002288,2210080003,,2210080003,,2022-10-08 16:00:00.000,2,
d_d010973,2211050002,,2211050002,,2022-11-05 16:00:00.000,2,
d_d002564,2210190005,,2210190005,,2022-10-19 18:30:00.000,2,
d_d009413,2210290001,,2210290001,,2022-10-29 10:00:00.000,1,
d_d000784,2208190003,,2208190003,,2022-08-19 18:30:00.000,10,
d_d009310,2211010005,,2211010005,,2022-11-01 13:00:00.000,2,
d_d000253,2208170007,,2208170007,,2022-08-17 20:00:00.000,15,
d_d001628,2209240004,,2209240004,,2022-09-24 19:00:00.000,13,
d_d004222,2210100002,,2210100002,,2022-10-10 14:00:00.000,1,
d_d000496,2208220005,,2208220005,,2022-08-22 12:00:00.000,13,
d_d004451,2210290007,,2210290007,,2022-10-29 17:30:00.000,2,
d_d004763,2210300001,2210300001,,2022-10-30 07:00:00.000,,,
d_d003536,2210070007,,2210070007,,2022-10-07 14:30:00.000,15,
d_d000488,2208250004,,2208250004,,2022-08-25 14:00:00.000,1,
d_d003752,2210130007,,2210130007,,2022-10-13 19:30:00.000,13,
d_d000751,2209050003,,2209050003,,2022-09-05 19:00:00.000,13,15
d_d001493,2209220009,,2209220009,,2022-09-22 14:00:00.000,2,15
d_d006923,2210250004,,2210250004,,2022-10-25 14:30:00.000,2,
d_d002412,2210020007,,2210020007,,2022-10-02 18:00:00.000,16,
d_d002134,2210150005,,2210150005,,2022-10-15 15:30:00.000,2,
d_d001863,2210050008,,2210050008,,2022-10-05 17:30:00.000,2,
d_d000265,2208280008,,2208280008,,2022-08-28 15:30:00.000,2,
d_d003763,2210080008,,2210080008,,2022-10-08 20:30:00.000,13,15
d_d007085,2210270004,,2210270004,,2022-10-27 17:00:00.000,15,
d_d002348,2210140001,,2210140001,,2022-10-14 09:30:00.000,15,
d_d002598,2210020006,,2210020006,,2022-10-02 13:30:00.000,2,
d_d000212,2208220006,,2208220006,,2022-08-22 04:30:00.000,2,
d_d009000,2210280005,,2210280005,,2022-10-28 15:00:00.000,4,10
d_d012432,2211130002,,2211130002,,2022-11-13 13:00:00.000,1,1
d_d004772,2210120008,,2210120008,,2022-10-12 20:00:00.000,15,
d_d004783,2210210008,,2210210008,,2022-10-21 05:30:00.000,2,
d_d005029,2210180005,,2210180005,,2022-10-18 16:00:00.000,1,
d_d004311,2210110003,,2210110003,,2022-10-11 11:00:00.000,2,
d_d005930,2210180002,,2210180002,,2022-10-18 12:30:00.000,1,
d_d005076,2210140008,,2210140008,,2022-10-14 21:30:00.000,15,15
d_d010521,2211040006,,2211040006,,2022-11-04 11:30:00.000,2,
d_d005005,2210090005,,2210090005,,2022-10-09 01:00:00.000,2,
d_d001364,2209080005,,2209080005,,2022-09-08 14:30:00.000,16,
d_d002288,2210070003,,2210070003,,2022-10-07 14:30:00.000,2,
d_d001593,2209280009,,2209280009,,2022-09-28 18:30:00.000,9,
d_d004415,2210300001,,2210300001,,2022-10-30 11:00:00.000,1,
d_d002482,2210040002,,2210040002,,2022-10-04 02:00:00.000,13,15
d_d011338,2211060001,,2211060001,,2022-11-06 10:30:00.000,1,
d_d001691,2209290006,,2209290006,,2022-09-29 16:30:00.000,2,
d_d000374,2208280004,,2208280004,,2022-08-28 09:00:00.000,1,
d_d000033,2208050006,,2208050006,,2022-08-05 17:00:00.000,15,
d_d002504,2210070002,,2210070002,,2022-10-07 05:30:00.000,1,
d_d007190,2210230003,,2210230003,,2022-10-23 13:30:00.000,15,
d_d009464,2210290004,,2210290004,,2022-10-29 15:00:00.000,16,
d_d003211,2210120009,,2210120009,,2022-10-12 19:30:00.000,15,
d_d001665,2210010001,2210010001,,2022-10-01 06:30:00.000,,,
d_d010667,2211010003,,2211010003,,2022-11-01 13:00:00.000,16,
c_c002988,2210030001,,2210030001,,2022-10-03 10:30:00.000,15,
b_b001806,2208180003,,2208180003,,2022-08-18 06:00:00.000,1,
d_d005001,2210100004,,2210100004,,2022-10-10 14:00:00.000,2,
d_d001409,2209200006,,2209200006,,2022-09-20 17:00:00.000,2,
d_d001142,2209290004,,2209290004,,2022-09-29 13:30:00.000,10,
d_d009245,2211030006,,2211030006,,2022-11-03 09:00:00.000,1,
d_d001816,2210010004,,2210010004,,2022-10-01 18:30:00.000,2,
d_d005296,2210150003,,2210150003,,2022-10-15 13:30:00.000,1,
d_d001640,2209230004,,2209230004,,2022-09-23 16:00:00.000,1,
d_d001557,2209270002,,2209270002,,2022-09-27 15:00:00.000,9,12
d_d000339,2209010007,,2209010007,,2022-09-01 19:00:00.000,2,
a_a006200,2210110008,,2210110008,,2022-10-11 18:30:00.000,15,
d_d010193,2211040008,,2211040008,,2022-11-04 15:30:00.000,2,
d_d000628,2208210006,,2208210006,,2022-08-21 16:30:00.000,4,
d_d000455,2208230002,,2208230002,,2022-08-23 15:30:00.000,2,
d_d010195,2211040001,,2211040001,,2022-11-04 09:30:00.000,15,
d_d011694,2211030006,,2211030006,,2022-11-03 15:30:00.000,13,15
d_d000996,2209010003,,2209010003,,2022-09-01 16:30:00.000,2,
d_d001641,2209250004,,2209250004,,2022-09-25 16:00:00.000,13,
d_d002574,2210010004,,2210010004,,2022-10-01 15:30:00.000,9,
c_c002280,2209160006,,2209160006,,2022-09-16 16:00:00.000,15,1
d_d002787,2210040001,2210040001,,2022-10-04 09:30:00.000,,,
d_d004982,2210240002,,2210240002,,2022-10-24 17:30:00.000,1,
d_d003398,2210240012,,2210240012,,2022-10-24 17:00:00.000,1,
d_d002561,2210230003,,2210230003,,2022-10-23 18:30:00.000,4,
d_d010501,2211030009,,2211030009,,2022-11-03 18:00:00.000,15,
d_d009609,2211010008,,2211010008,,2022-11-01 19:00:00.000,1,
d_d003272,2210050004,,2210050004,,2022-10-05 12:30:00.000,2,
d_d001862,2210190005,,2210190005,,2022-10-19 18:00:00.000,2,
d_d001649,2209280006,,2209280006,,2022-09-28 20:30:00.000,9,
d_d009799,2211020004,,2211020004,,2022-11-02 03:30:00.000,1,
d_d000116,2208160004,,2208160004,,2022-08-16 23:00:00.000,15,
d_d009794,2210300003,,2210300003,,2022-10-30 10:30:00.000,15,
d_d004767,2210110002,,2210110002,,2022-10-11 13:00:00.000,2,
d_d005350,2210180004,,2210180004,,2022-10-18 13:00:00.000,1,1
d_d012377,2211090010,,2211090010,,2022-11-09 20:00:00.000,13,
d_d001158,2209170007,,2209170007,,2022-09-17 19:00:00.000,1,
d_d001755,2210180003,,2210180003,,2022-10-18 12:30:00.000,2,
d_d001799,2210020001,,2210020001,,2022-10-02 11:00:00.000,2,
d_d010315,2211050003,,2211050003,,2022-11-05 11:30:00.000,2,
d_d001581,2209220007,,2209220007,,2022-09-22 15:00:00.000,4,
d_d000824,2208250004,,2208250004,,2022-08-25 22:00:00.000,2,
b_b002235,2208200004,,2208200004,,2022-08-20 15:00:00.000,2,
d_d009706,2211020005,,2211020005,,2022-11-02 23:30:00.000,15,
d_d002055,2210160008,,2210160008,,2022-10-16 18:30:00.000,2,
d_d002701,2210200002,,2210200002,,2022-10-20 10:30:00.000,2,
