TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c003309,11,여,40,6,1,2,4,3,,4,8,2,2,42,42230,48,48840,42,42130,2,1,3,4,5,3,4,3,서울특별시,광주,자녀 동반 여행,2022-10-29~2022-10-30,9,8,7,3
c005676,43,남,20,7,1,1,2,2,,5,8,2,1,50,50130,48,48220,42,42150,2,2,2,5,3,5,2,5,충청북도,대전,나홀로 여행,2022-10-09~2022-10-09,1,2,,0
c000672,11,여,30,6,1,2,3,4,,7,12,2,1,42,42150,41,41800,45,45770,2,2,2,2,2,6,6,6,서울특별시,전북,3인 이상 여행(가족 외),2022-09-03~2022-09-04,3,9,1,4
c011637,44,남,30,5,1,1,2,4,,4,4,3,3,26,26230,50,50110,42,42150,4,1,2,4,1,6,2,5,충청남도,충남,2인 여행(가족 외),2022-10-29~2022-10-29,7,6,1,1
c011544,27,여,50,8,5,2,1,2,,3,,3,3,50,50130,26,26500,44,44180,3,3,5,4,2,4,4,4,서울특별시,전남,2인 여행(가족 외),2022-10-30~2022-10-31,6,4,2,0
c007468,41,여,30,7,1,1,4,2,,7,12,3,4,41,41390,42,42150,50,50130,4,3,2,2,7,4,2,1,경기도,충남,부모 동반 여행,2022-10-29~2022-10-30,3,2,1,3
c002239,44,여,50,6,1,2,5,2,,3,11,3,4,50,50130,42,42210,26,26530,3,1,1,2,1,7,5,6,충청남도,전북,3대 동반 여행(친척 포함),2022-09-17~2022-09-18,3,1,2,4
c014421,30,여,20,7,2,1,1,2,,3,,2,1,11,11230,50,50130,26,26350,2,4,1,7,5,3,5,3,대전광역시,세종,2인 여행(가족 외),2022-11-09~2022-11-09,1,3,2,1
c004171,11,남,30,6,1,1,3,2,,5,12,3,3,50,50130,42,42150,41,41360,3,3,3,4,4,3,3,5,서울특별시,충남,나홀로 여행,2022-10-30~2022-10-31,2,7,1,0
c004235,43,남,30,5,1,1,1,7,,4,,2,2,42,42230,44,44210,43,43130,1,2,2,3,3,3,2,2,충청북도,충남,나홀로 여행,2022-09-29~2022-09-30,6,5,2,0
c005446,41,남,20,6,1,1,4,12,,1,4,3,3,42,42210,11,11440,46,46130,2,2,4,2,4,4,6,4,경기도,전북,2인 여행(가족 외),2022-10-07~2022-10-08,2,3,8,1
c001755,36,여,30,6,1,2,4,,1,1,5,2,1,45,45800,44,44150,43,43730,1,4,4,4,1,2,6,4,세종특별자치시,충북,자녀 동반 여행,2022-08-27~2022-08-27,2,3,6,3
c000770,11,여,20,6,1,1,1,,3,4,,3,2,50,50110,45,45110,26,26350,5,2,1,4,7,4,5,6,서울특별시,전남,나홀로 여행,2022-08-19~2022-08-21,8,2,7,0
c011842,29,여,20,6,1,1,1,12,,2,,3,5,45,45110,46,46710,30,30200,2,1,1,1,1,5,7,1,광주광역시,전남,나홀로 여행,2022-10-29~2022-10-29,2,1,4,0
