COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
3,a_a005643,2,1,1,1
1,a_a018128,7,1,4,1
20,c_c003316,10,1,6,1
3,a_a000041,7,2,3,3
1,a_a006750,1,1,6,1
1,a_a015350,8,1,3,3
1,a_a010949,8,1,3,1
2,a_a004557,5,2,3,3
2,a_a001375,11,2,3,1
3,a_a002480,7,2,4,3
1,a_a004639,1,2,5,1
2,a_a001474,2,1,1,1
1,a_a005682,1,1,4,1
1,a_a001415,1,2,4,1
1,a_a005105,7,2,3,3
1,a_a005100,1,2,4,1
1,a_a001839,7,2,4,1
4,a_a013785,6,2,1,1
1,a_a000662,1,2,6,1
3,a_a018162,2,2,1,1
1,a_a002472,1,1,4,1
4,a_a006798,7,2,3,3
4,a_a000203,2,2,1,1
2,a_a008166,3,2,8,1
1,a_a003692,2,2,4,1
2,a_a006011,7,2,4,1
2,a_a000670,7,1,3,3
2,a_a004106,2,1,2,1
4,a_a004811,7,1,4,1
2,a_a002981,7,2,3,1
3,a_a005445,7,2,4,1
3,a_a002624,2,1,1,1
2,c_c005920,2,1,1,1
1,a_a009509,1,2,6,1
1,a_a007966,8,2,3,1
1,a_a002475,2,2,2,1
1,a_a003598,8,2,3,1
6,a_a000911,6,2,1,3
2,a_a018225,2,2,4,1
1,a_a005600,1,1,5,1
1,a_a001949,8,1,4,1
3,a_a000831,2,2,1,1
1,a_a000165,8,2,3,1
3,a_a009437,7,2,4,3
2,a_a001208,2,1,1,1
2,a_a009387,2,1,2,1
1,a_a001810,1,1,4,1
4,a_a004924,3,2,6,3
10,a_a013672,9,1,6,1
1,a_a006005,8,1,4,1
1,a_a000021,8,2,3,3
2,a_a017278,2,2,2,1
2,a_a007759,2,1,2,1
1,a_a014102,1,1,7,1
3,a_a000122,2,2,2,1
2,a_a001955,7,1,4,1
1,a_a002642,8,1,4,1
3,a_a005013,2,1,1,1
7,a_a001018,7,2,4,3
1,a_a002590,1,2,3,1
1,a_a001127,8,2,3,3
2,a_a002206,2,2,4,1
1,a_a004606,1,2,4,1
3,a_a002604,2,1,1,1
2,a_a006429,1,2,8,3
2,a_a015206,3,1,7,3
2,a_a014261,2,1,1,1
1,d_d004639,1,2,3,1
2,a_a005006,2,1,4,1
1,a_a001612,7,2,4,3
1,a_a010404,8,2,4,1
1,a_a005006,1,2,4,1
7,a_a001123,7,1,1,2
5,a_a000100,7,1,5,2
3,a_a000513,7,2,4,3
1,a_a001541,1,2,6,1
3,a_a004570,2,1,1,1
1,a_a002996,1,1,5,1
1,a_a000605,1,2,4,1
2,a_a006128,7,2,5,3
1,a_a018146,1,2,4,1
2,a_a005492,2,2,2,1
1,a_a018132,8,2,4,1
2,a_a006656,7,1,3,3
1,a_a004571,7,1,3,1
1,a_a000746,7,2,4,1
1,a_a001316,7,1,3,3
1,a_a005639,1,1,6,1
2,a_a002472,2,1,1,1
1,a_a003368,1,1,3,1
2,a_a000203,2,2,2,1
4,a_a007231,7,2,4,1
1,a_a005301,8,2,3,1
1,a_a000990,8,2,3,1
3,a_a011646,2,1,1,1
1,a_a003385,8,1,3,1
1,a_a000766,8,2,3,1
2,a_a002922,7,2,3,1
1,a_a000902,1,2,5,1
4,a_a002055,11,1,1,1
4,a_a003844,6,1,5,3
1,a_a011551,7,1,4,3
1,a_a006093,1,2,4,1
2,a_a006239,2,1,2,1
2,a_a004994,10,2,5,3
3,a_a003025,2,1,1,1
1,a_a002400,8,1,4,1
1,a_a007639,7,2,5,3
4,a_a012267,2,2,1,1
1,a_a013677,1,1,5,1
1,a_a000150,7,1,3,1
3,a_a000081,2,1,1,1
1,a_a000536,1,2,4,1
1,a_a011478,8,1,4,1
2,a_a002741,2,2,1,1
1,a_a003707,8,1,4,1
2,a_a005334,7,2,3,1
1,a_a008165,8,2,4,1
19,c_c003316,10,1,6,1
1,a_a018188,8,1,3,1
2,a_a003160,2,1,2,1
3,a_a002602,11,2,1,1
1,a_a005811,2,1,1,1
2,a_a004747,2,1,1,1
1,a_a007640,8,1,4,1
3,b_b009428,5,2,3,1
1,a_a010202,1,2,5,1
7,a_a003207,9,2,3,1
2,a_a006769,11,2,8,1
1,a_a003089,8,1,3,1
1,a_a006134,1,1,5,1
1,a_a001364,8,2,3,1
1,a_a003308,1,1,5,1
1,a_a001895,8,1,4,3
3,a_a006683,2,1,2,1
1,a_a018222,8,2,4,1
2,a_a007252,7,2,5,3
3,a_a000508,2,2,4,3
1,a_a008413,7,1,4,1
2,a_a006541,2,1,2,1
2,a_a001904,7,1,3,1
2,a_a009681,7,2,3,2
2,a_a008463,9,2,5,3
1,a_a003810,8,1,3,1
1,a_a015683,8,1,4,1
1,a_a001142,8,1,4,1
5,a_a010127,11,2,1,1
2,a_a005052,7,2,3,3
3,a_a001293,7,2,3,1
3,a_a017835,4,2,6,1
15,c_c003316,10,2,6,1
1,a_a010570,2,1,2,1
1,a_a005536,8,1,3,1
2,a_a000960,2,2,1,1
2,a_a000414,7,1,3,3
1,a_a007346,7,2,5,1
1,a_a005969,3,1,6,1
2,a_a005712,2,1,1,1
2,c_c005193,7,2,3,1
3,a_a002880,5,2,3,1
1,a_a000177,2,2,2,1
1,a_a003048,2,2,3,1
2,a_a013755,2,1,2,1
1,a_a000670,8,2,3,3
2,a_a017996,7,2,3,3
1,a_a007597,8,2,3,1
1,a_a002165,7,2,3,1
1,a_a006049,2,1,4,3
1,a_a001057,1,2,4,1
1,a_a018049,8,2,4,3
2,a_a006023,2,2,1,1
1,a_a008702,8,2,4,3
1,a_a001308,8,2,4,1
1,a_a011777,1,1,5,1
1,a_a003202,7,2,3,3
2,a_a010341,2,2,1,1
1,a_a007157,8,2,4,1
1,a_a004643,1,2,4,1
1,a_a005493,1,2,5,1
1,a_a001540,7,1,4,1
1,a_a018241,7,2,3,3
1,a_a015650,8,1,3,1
6,a_a013696,6,2,6,1
2,a_a005832,2,1,1,1
4,a_a000122,5,2,5,3
1,a_a014996,8,1,3,1
6,a_a003481,7,2,4,1
3,a_a002981,7,1,3,1
1,a_a015323,8,1,4,1
2,a_a004265,9,1,6,1
1,a_a017502,7,2,3,1
1,a_a001206,8,2,3,1
1,a_a006628,1,1,5,1
1,a_a001534,8,1,3,1
7,a_a013696,6,1,3,1
2,a_a003760,7,2,3,1
1,a_a012495,8,1,3,1
2,a_a014920,2,1,2,1
2,a_a000074,2,1,1,1
2,a_a002674,2,2,1,1
1,a_a005715,7,2,4,1
1,a_a003049,8,2,3,1
1,a_a008463,9,2,5,3
1,a_a014703,2,1,5,1
1,a_a011737,1,1,7,1
2,a_a000729,2,2,1,1
2,a_a007254,2,2,4,1
2,a_a017850,2,1,3,1
3,b_b005996,2,1,5,1
1,a_a008206,8,1,4,3
1,a_a009511,7,2,4,1
2,a_a003188,7,1,3,1
3,a_a010455,2,1,2,1
2,a_a006483,2,2,3,1
5,a_a001567,10,2,6,3
1,a_a001623,7,2,4,3
4,a_a000815,7,1,5,1
1,a_a000186,8,2,3,1
2,a_a010415,7,2,4,1
2,a_a006352,7,2,4,1
2,a_a004316,7,1,4,1
3,a_a018108,2,2,3,1
3,a_a015110,10,1,2,1
1,a_a007345,8,2,4,1
1,a_a006303,8,1,3,1
4,a_a006134,2,2,1,1
2,a_a000516,2,2,1,1
4,a_a003284,7,2,4,1
2,a_a000315,2,1,1,1
3,a_a003481,7,2,4,2
1,a_a005709,1,1,5,1
1,a_a017936,1,1,6,1
1,a_a001732,8,1,4,1
2,a_a018149,2,1,2,1
1,a_a001917,1,2,4,1
4,a_a001105,7,1,4,3
1,a_a006581,8,2,3,3
1,a_a003796,1,2,6,1
1,a_a002414,1,2,4,1
3,a_a017827,2,1,2,1
1,a_a005766,1,1,7,1
1,a_a001648,1,2,4,1
1,a_a005738,8,2,4,1
3,a_a000184,7,1,4,3
1,a_a002410,2,2,4,1
3,a_a003784,2,1,1,1
2,a_a000376,7,1,3,3
1,a_a010370,1,1,5,1
2,a_a017690,7,1,4,3
