TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
d_d001665,2210020001,3,1,,자연경관구경과 사진찍기,N,1,2
d_d007190,2210250008,6,0,,비행기 이용,Y,5,
d_d006839,2210210003,6,0,,렌터카 픽업,Y,5,
d_d005052,2210200002,1,0,,아이스아메리카노;딸기스무디,N,1,
d_d003044,2210070009,1,1,,,,4,
d_d000255,2208300002,7,0,,,,,
d_d004325,2210110001,4,0,,,,,
d_d010849,2211030002,5,2,,,,,
d_d001470,2209210001,3,2,,스누피가든 관람 및 산책,Y,1,1
d_d002841,2210210003,4,0,,,,,
d_d011394,2211040001,1,0,,문어회초비빔밥;보말전복죽;보말전복칼국수,N,1,
d_d006339,2210280004,1,0,,청귤에이드 한라봉에이드,N,1,
d_d001727,2210280002,5,0,,,,,
d_d000219,2208190008,2,0,,제주도 귤모자 그립톡 초콜릿 등의 기념품,N,5,
d_d009017,2210280007,2,2,,맥주 소주,N,1,
d_d004827,2210150005,5,1,,,,,
d_d002930,2210100001,7,3,,,,,
d_d010389,2211030005,99,0,,,,,
d_d002716,2210060003,3,2,,젖소 우유 주기;모래놀이,N,1,1;2
d_d001208,2209220004,7,2,,,,,
d_d003876,2210090004,5,0,,,,,
d_d002253,2210170002,5,1,,,,,
d_d000998,2208270008,4,0,,,,,
d_d010315,2211040006,1,2,,,,4,
d_d002861,2210070008,7,0,,,,,
b_b009832,2210270003,4,2,,,,,
d_d009883,2211060001,3,1,,폭포 관람;계곡물놀이 체험,Y,5,1;2
d_d001431,2209190001,1,0,,고등어참깨소바;누룩연어덮밥;게우초밥;성게유부초밥,N,1,
d_d006984,2210200007,5,1,,,,,
d_d004619,2210140005,1,0,,흑돼지수제돈까스;전복문어해물라면,N,1,
d_d010527,2210300002,7,1,,,,,
d_d000605,2208200008,3,0,,스테핑스톤 페스티벌에서 힙합;롹 공연,N,5,
d_d003589,2210060005,1,2,,말육회초밥,N,2,
d_d006378,2210210005,1,0,,슈니츨(독일식돈까스),N,1,
d_d001453,2210010008,2,0,,쑥떡,N,1,
d_d002087,2210180005,4,0,,,,,
d_d001202,2209150007,5,0,,,,,
c_c000121,2208190011,6,1,,숙소비용 지출,Y,5,
d_d001688,2209250002,4,0,,,,,
d_d004713,2210080005,4,2,,,,,
d_d010061,2210300005,4,2,,,,,
d_d003047,2210060003,5,0,,,,,
d_d003036,2210080004,5,0,,,,,
d_d000762,2208220007,5,0,,,,,
d_d008070,2210290006,2,1,,고등어회;딱새우회,N,1,
d_d011694,2211050001,2,0,,Cheesemon,Y,1,
b_b001010,2208200001,4,0,,,,,
b_b002597,2208280010,7,0,,,,,
d_d000672,2208210007,1,0,,흑돼지 근고기(계좌이체),N,1,
d_d002195,2210200003,4,1,,,,,
d_d010167,2211040001,5,0,,,,,
d_d001893,2210010007,3,0,,카약체험,Y,5,1
a_a003210,2210010007,5,1,,,,,
b_b005117,2210020003,1,5,,조식 샌드위치;커피,Y,4,
d_d000783,2209020003,3,0,,미디어아트관람,N,1,2
d_d000096,2208160002,1,0,,타코 구아카몰 핫도그감자튀김,N,1,
a_a005932,2210210005,5,4,,,,,
d_d006321,2210160003,7,0,,,,,
d_d010230,2211050003,4,0,,,,,
d_d010309,2211060008,1,0,,흑돼지,N,4,
d_d001031,2209080001,5,0,,,,,
d_d010862,2211070001,5,1,,,,,
d_d000666,2209030004,3,1,,제주현대미술전시,N,1,2
d_d007623,2210300006,3,0,,체험낚시,Y,1,1
d_d010557,2211050016,2,2,,흑돼지철판구이,N,1,
d_d001757,2209240004,1,0,,리치망고와 한치빵,N,1,
d_d000484,2208250006,1,0,,칵테일,N,4,
d_d003211,2210140001,1,0,,고기국수;비빔국수,N,1,
a_a000926,2209030007,99,0,,,,,
d_d002955,2210090005,2,0,,저녁먹을 음식,N,1,
d_d000663,2208280006,2,2,,스타벅스 제주 까망라떼. 제주쓱떡프라푸치노,N,1,
d_d001675,2210010001,1,0,,망고바나나스무디;아메리카노,N,1,
d_d006363,2210260004,5,1,,,,,
d_d010461,2211030003,1,0,,훠궈;꿔바로우,N,4,
b_b004388,2210020009,4,0,,,,,
d_d008034,2210300002,7,3,,,,,
d_d002101,2210090003,4,0,,,,,
d_d000912,2209010002,2,0,,발장식품,N,1,
a_a000394,2208290004,4,2,,,,,
d_d000447,2209040003,2,1,,메디폼,N,5,
d_d010440,2210310002,4,0,,,,,
d_d009152,2210310002,1,1,,,,4,
d_d001147,2209150004,1,0,,전복솥밥;고등어구이;각종 밑반찬과 국,N,1,
d_d002028,2210220009,2,1,,단호박크럼블케이쿠,Y,5,
d_d002094,2210120005,1,0,,고기국수 및 수육,Y,1,
d_d001894,2210250002,3,0,,제주 4.3 북촌리 관련 영상 감상;기념관 관람;주변 4.3유적지 방문,N,5,2
d_d000538,2208230008,7,1,,,,,
d_d004538,2210300003,3,0,,온천욕,N,1,2
c_c003960,2211070006,5,2,,,,,
d_d002993,2210080003,5,1,,,,,
d_d003731,2210100006,3,0,,입장권구매,N,1,2
d_d000319,2208270004,7,0,,,,,
d_d001637,2209280004,1,0,,커피,N,1,
d_d005296,2210150003,2,3,,모닥치기,N,5,
d_d010348,2211020004,5,0,,,,,
