TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b001889,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,7400,
b_b018582,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,11800,
b_b004906,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,47940,
b_b004144,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,50000,
b_b005281,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
b_b014198,4,교통비,0,택시,2,,,,,11100,
b_b006537,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,30000,
b_b002541,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,43000,
b_b011569,50,교통비,0,버스 + 지하철,1,,,,,2630,
b_b011209,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,30000,
b_b000676,1,주차비,12,자가용(승용/승합/트럭 등등),2,5068209975,포항시시설관리공단 본사,2022-08-19 10:49:00.000,1,1100,주차비
b_b000399,4,교통비,0,택시,6,,,,,27300,
b_b001917,9,교통비,0,항공기,3,,,,,320640,비행기표
b_b004657,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,30000,
b_b004581,2,렌탈비,1,렌터카(승용/승합/버스 등등),3,6168190529,주식회사 쏘카,2022-10-03 18:20:00.000,1,46130,렌터카
b_b005098,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,3600,
b_b001433,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,50000,
b_b015925,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,5000,
b_b001063,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,174000,
b_b002371,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,80000,
b_b006900,4,교통비,3,택시,1,5080514342,,2022-10-08 17:15:00.000,1,36400,택시비
b_b001045,2,렌탈비,1,렌터카(승용/승합/버스 등등),2,6168190529,주식회사 쏘카,2022-08-11 01:26:00.000,1,103910,렌트비
b_b000109,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,20000,
b_b000649,50,교통비,0,버스 + 지하철,1,,,,,43100,
b_b004623,4,교통비,3,택시,3,1298638970,(주)이비카드,2022-10-01 17:01:00.000,1,3800,택시비
b_b003624,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,6000,
b_b006971,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,500,
b_b007013,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,19400,
b_b004589,7,교통비,0,KTX/SRT(고속열차),1,,,,,53200,기차표
b_b002286,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18300,
b_b002992,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,11300,
b_b006850,50,교통비,0,버스 + 지하철,2,,,,,81200,
b_b002035,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,3000,
b_b007670,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,50000,
b_b009256,7,교통비,2,KTX/SRT(고속열차),1,3148210024,한국철도공사,2022-09-26 09:23:00.000,1,47100,기차표 
c_c002219,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,1000,
b_b014710,9,교통비,0,항공기,2,,,,,132200,비행기표
b_b008387,4,교통비,1,택시,4,6178100113,대흥택시,2022-10-18 17:13:00.000,1,7500,택시비
b_b006095,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,9100,
b_b004763,50,교통비,0,버스 + 지하철,4,,,,,10000,
b_b002016,4,교통비,0,택시,1,,,,,6600,
b_b000274,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,70000,
b_b008358,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,20000,
b_b005735,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,7800,
b_b009918,4,교통비,0,택시,3,,,,,24600,
b_b008228,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,150000,
b_b001208,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,70000,
b_b006539,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,70000,
b_b000455,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,7900,
b_b006021,1,주차비,11,자가용(승용/승합/트럭 등등),1,5550602567,울산역세권주차장,2022-10-08 21:39:00.000,1,6000,주차비
b_b015715,7,교통비,0,KTX/SRT(고속열차),1,,,,,33100,기차표
b_b007326,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,60000,
b_b000317,4,교통비,0,택시,4,,,,,27000,
b_b008429,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18000,
b_b014200,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,60000,
b_b015780,4,교통비,0,택시,2,,,,,28605,
b_b012316,7,교통비,2,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-10-29 09:02:00.000,1,17100,기차표 
b_b005775,50,교통비,0,버스 + 지하철,2,,,,,8500,
b_b006550,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,7200,
b_b007082,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
b_b004332,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,26000,
b_b009763,1,주차비,0,자가용(승용/승합/트럭 등등),6,,,,,2000,
b_b000625,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,500,
d_d002966,4,교통비,2,택시,2,,,2022-10-29 10:51:00.000,1,14500,택시비
b_b006324,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,8000,
b_b002724,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,20000,
b_b007073,1,주차비,0,자가용(승용/승합/트럭 등등),3,,,,,4000,
b_b004648,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,35480,
b_b000241,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,56000,
b_b007943,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,20000,
b_b001564,7,교통비,0,KTX/SRT(고속열차),1,,,,,84400,기차표
b_b008195,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,40000,
b_b007455,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,30000,
b_b001647,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,1000,
b_b009583,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,7100,
b_b005770,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
b_b014806,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,4900,
b_b012325,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,4900,
b_b007946,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,15000,
b_b004535,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,2000,
b_b004446,1,통행료,0,자가용(승용/승합/트럭 등등),5,,,,,18000,
b_b007097,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,12000,
b_b002862,1,통행료,0,자가용(승용/승합/트럭 등등),8,,,,,10000,
b_b003960,8,교통비,0,새마을/무궁화열차,1,,,,,23000,기차표
b_b014853,1,주차비,0,자가용(승용/승합/트럭 등등),5,,,,,3500,
b_b004679,1,주유비,12,자가용(승용/승합/트럭 등등),2,2428500654,홍천(양양)주유소,2022-09-26 12:59:00.000,1,40000,주유비
b_b005094,1,통행료,0,자가용(승용/승합/트럭 등등),5,,,,,24700,
b_b014175,2,주유비,0,렌터카(승용/승합/버스 등등),2,,,,,51120,
b_b003182,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,6400,
b_b003816,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,90000,
b_b018456,7,교통비,0,KTX/SRT(고속열차),1,,,,,20200,기차표
b_b002695,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,25000,
b_b013731,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,8500,
b_b016547,50,교통비,0,버스 + 지하철,1,,,,,4700,
b_b000083,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,100000,
b_b007540,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,15000,
b_b008460,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,68000,
b_b001242,50,교통비,0,버스 + 지하철,1,,,,,20000,
b_b003859,11,교통비,1,관광버스,2,,,2022-08-22 22:09:00.000,1,38000,
b_b006428,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,50000,
b_b001126,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,17000,
b_b000784,4,교통비,2,택시,1,,,2022-08-19 20:34:00.000,3,5300,택시비
