TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a009466,얼레이호텔,0,1,Y,2022-11-05 00:00:00.000,2022-11-06 00:00:00.000,2,,,경기 용인시 기흥구 신정로 231,경기 용인시 기흥구 신갈동 536-23,,,,1,98057,
a_a000516,하나키즈풀빌라,1,3,Y,2022-08-21 00:00:00.000,2022-08-22 00:00:00.000,4,,가평코코키즈풀빌라,경기 가평군 가평읍 호반로 2083-29,경기 가평군 가평읍 이화리 88-4,3216049,4182025031,,1,429000,숙박비;미온수전객실(1회);전기그릴이용(1SET)
a_a013881,드림게스트하우스,1,7,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,1,4118601799,토스페이먼츠주식회사,서울 강남구 테헤란로 131,서울 강남구 역삼동 647-9,3122010,1168010100,2022-10-26 22:45:00.000,1,25000,
a_a015818,곤지암리조트,1,4,Y,2022-11-03 00:00:00.000,2022-11-04 00:00:00.000,1,1078609325,(주)에스앤아이코퍼레이션,경기 광주시 도척면 도척윗로 278,,3211012,4161033026,2022-11-04 10:01:00.000,1,45000,리조트
a_a008658,프렌즈키즈풀빌라,1,3,Y,2022-10-28 00:00:00.000,2022-10-30 00:00:00.000,4,2118841856,주식회사티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007,1168010700,2022-10-14 00:00:00.000,1,216720,(가을여행왔추)(포천시)포천프렌즈키즈풀빌라
a_a000195,김포국제공항 국내선,0,11,Y,2022-08-12 00:00:00.000,2022-08-12 00:00:00.000,1,,,서울 강서구 하늘길 112,서울 강서구 공항동 1373,,,,1,95800,
a_a003774,준게스트하우스,1,7,Y,2022-10-22 00:00:00.000,2022-10-24 00:00:00.000,1,1756700030,준게스트하우스,서울 마포구 와우산로29나길 24-3,서울 마포구 서교동 335-36,4139467,1144012000,2022-09-29 00:00:00.000,1,31000,여성전용 8인 도미토리
a_a009594,에어비앤비 호텔,0,1,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,,,,,,,1,150000,
a_a001935,S스테이호텔,1,1,Y,2022-09-09 00:00:00.000,2022-09-10 00:00:00.000,2,1438273145,유펠리스관리단,경기 수원시 팔달구 갓매산로71번길 21-6,경기 수원시 팔달구 매산로2가 27-6,4328010,4111513500,2022-09-09 20:15:00.000,1,61500,
a_a002573,나인트리호텔 명동,0,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,4,,,서울 중구 명동10길 51,서울 중구 충무로2가 63-2,,,,1,170000,
a_a001090,롯데호텔월드,1,1,Y,2022-08-25 00:00:00.000,2022-08-27 00:00:00.000,3,,,,,,,2022-06-03 17:07:00.000,1,357520,HO-[그랜드 리-오프닝!
a_a012313,드라이브인 솔무인텔,1,2,Y,2022-10-28 00:00:00.000,2022-10-29 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-10-28 00:00:00.000,1,31500,포천드라이브인 솔 무인텔
a_a002219,서울앤호텔,10,1,,,,1,,서울앤호텔,,,,,,5,18203,호텔비
a_a000577,용인에버스트리트,0,3,Y,2022-08-19 00:00:00.000,2022-08-20 00:00:00.000,4,,,경기 용인시 처인구 포곡읍 곡현로 151,경기 용인시 처인구 포곡읍 유운리 311-17,,,,5,240000,
a_a006067,호텔코너인,1,1,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-10-05 22:34:00.000,1,58500,송탄 호텔 코너
a_a008474,에버찜질사우나,1,11,N,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,1,3611400654,에버찜질사우나,경기 용인시 처인구 포곡읍 에버랜드로 65,경기 용인시 처인구 포곡읍 전대리 109-1,3203081,4146125027,2022-10-30 22:04:00.000,1,12000,대인남; 찜질복
