TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d010226,26,여,20,6,1,1,3,13,,6,11,3,5,28,28237,31,31170,50,50130,5,1,4,1,5,5,6,1,부산광역시,제주,2인 여행(가족 외),2022-10-29~2022-11-01,2,7,1,1
a004017,11,남,60,6,1,2,3,1,,8,9,2,1,42,42210,46,46730,50,50130,1,1,5,3,1,5,1,6,서울특별시,인천,나홀로 여행,2022-10-14~2022-10-15,2,3,5,1
d002525,41,여,20,6,1,1,1,13,,5,,3,4,50,50110,26,26350,41,41110,4,4,3,4,4,5,6,7,경기도,제주,나홀로 여행,2022-10-05~2022-10-07,2,1,7,0
d012296,50,남,30,6,1,2,2,8,,6,7,2,2,50,50130,26,26350,11,11680,2,4,2,4,3,4,5,3,제주특별자치도,제주,2인 가족 여행,2022-11-12~2022-11-12,3,1,2,1
d005408,48,여,20,6,1,1,1,3,,4,,2,2,50,50130,42,42210,46,46150,2,2,2,3,4,5,2,4,경상남도,제주,나홀로 여행,2022-10-29~2022-10-31,1,2,7,0
d000481,41,여,30,6,1,1,4,3,,5,10,2,1,42,42750,42,42210,42,42230,4,1,1,4,3,7,3,5,경기도,제주,부모 동반 여행,2022-09-06~2022-09-08,1,2,3,3
d012254,50,여,20,6,1,1,1,12,,3,,3,2,50,50130,42,42150,41,41820,3,2,1,2,5,3,2,6,제주특별자치도,제주,3인 이상 여행(가족 외),2022-11-05~2022-11-06,1,3,5,4
a000794,41,여,30,6,1,2,4,,3,5,9,3,4,50,50130,42,42770,44,44825,2,1,1,1,2,3,1,7,경기도,인천,자녀 동반 여행,2022-09-04~2022-09-05,1,3,2,3
d012420,50,남,40,5,1,2,1,1,,6,,2,2,50,50130,50,50110,44,44210,1,1,1,4,4,1,4,7,제주특별자치도,제주,2인 여행(가족 외),2022-11-13~2022-11-13,6,1,2,1
c000849,41,여,30,7,1,2,2,3,,7,10,2,1,48,48840,42,42230,50,50130,2,2,3,1,7,3,2,2,경기도,충남,2인 가족 여행,2022-09-03~2022-09-05,7,1,6,1
d004763,27,남,20,6,1,1,1,1,,5,,2,2,50,50110,50,50130,11,11680,4,1,4,1,7,4,7,2,대구광역시,제주,나홀로 여행,2022-10-30~2022-11-01,8,1,4,0
d000128,41,여,40,5,1,2,4,4,,4,11,3,3,50,50130,42,42230,26,26440,3,1,1,3,4,6,2,4,경기도,제주,3인 이상 여행(가족 외),2022-08-06~2022-08-10,3,7,8,3
c005312,11,남,40,6,1,1,3,3,,8,11,3,4,46,46130,42,42210,26,26500,2,2,1,1,4,2,2,6,서울특별시,충남,3인 이상 여행(가족 외),2022-10-08~2022-10-09,2,1,3,3
d001296,26,남,30,6,1,2,4,1,,1,7,2,2,47,47130,48,48310,31,31140,4,2,2,2,6,2,2,6,부산광역시,제주,3인 이상 여행(가족 외),2022-09-12~2022-09-13,1,3,7,3
d004978,44,남,30,6,1,1,1,2,,4,,3,6,47,47130,43,43800,50,50130,2,6,2,3,6,4,2,6,충청남도,제주,나홀로 여행,2022-10-13~2022-10-16,1,4,7,0
d000463,11,남,40,6,1,1,2,2,,3,3,3,4,50,50130,42,42210,26,26350,2,6,2,4,2,2,4,4,서울특별시,제주,3인 이상 여행(가족 외),2022-08-25~2022-08-29,2,3,1,5
d004157,27,여,30,5,1,1,1,4,,4,,1,1,26,26230,47,47130,46,46150,2,3,2,5,6,6,6,6,대구광역시,제주,2인 여행(가족 외),2022-10-24~2022-10-26,7,1,5,0
d001642,11,여,30,6,1,2,2,2,,3,7,2,1,50,50110,42,42820,45,45110,1,1,1,3,5,4,6,4,서울특별시,제주,2인 가족 여행,2022-09-30~2022-10-04,6,2,7,1
d009124,11,남,30,8,1,2,2,2,,6,6,3,4,42,42210,46,46130,45,45110,1,1,1,1,1,6,2,7,서울특별시,제주,2인 가족 여행,2022-10-27~2022-10-30,9,,,1
d005528,50,여,20,6,1,1,1,2,,4,,3,2,42,42150,47,47110,45,45110,2,2,4,5,1,3,7,4,서울특별시,제주,나홀로 여행,2022-10-10~2022-10-11,2,4,1,0
d012363,50,여,40,6,1,2,4,11,,1,6,3,2,50,50130,11,11680,46,46110,1,1,4,4,4,4,4,5,제주특별자치도,제주,자녀 동반 여행,2022-11-12~2022-11-12,2,3,1,3
d001171,44,여,30,6,1,1,1,3,,4,,4,4,50,50130,42,42830,46,46150,5,2,2,2,4,3,1,7,충청남도,제주,나홀로 여행,2022-09-28~2022-09-30,1,4,6,0
