TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c003386,여수유탑유블레스,2,11,Y,2022-10-08 00:00:00.000,2022-10-10 00:00:00.000,2,,에어비앤비,,,,,2022-09-15 11:31:00.000,1,93282,집/아파트전체.침대1개.게스트2명
c_c013246,스페셜모텔,0,2,Y,2022-11-03 00:00:00.000,2022-11-04 00:00:00.000,2,,,전북 부안군 진서면 곰소항길 22-23,전북 부안군 진서면 곰소리 768,,,,,0,
c_c000050,롯데시티호텔 대전,1,1,Y,2022-08-06 00:00:00.000,2022-08-07 00:00:00.000,3,,,,,,,,1,86985,트리플룸
c_c001294,삼락헌,0,6,Y,2022-08-20 00:00:00.000,2022-08-21 00:00:00.000,4,,,전북 전주시 완산구 은행로 47-8,전북 전주시 완산구 풍남동3가 55-10,,,,1,254328,
c_c001274,디아크리조트,0,4,Y,2022-08-24 00:00:00.000,2022-08-26 00:00:00.000,1,,,전남 여수시 돌산읍 돌산로 3169-30,전남 여수시 돌산읍 평사리 1404-54,,,,4,500000,
c_c007949,에어비엔비 라누이블랑슈,1,11,Y,2022-10-21 00:00:00.000,2022-10-22 00:00:00.000,2,,에어비앤비,,,,,2022-09-30 22:57:00.000,1,184847,집/아파트 전체?침대1개 ?게스트2명
c_c012153,슈가브리움 리조트,0,4,Y,2022-10-31 00:00:00.000,2022-11-01 00:00:00.000,2,,,전남 여수시 돌산읍 몰둠벙길 54,전남 여수시 돌산읍 평사리 1396-1,,,,1,130000,
c_c006878,호텔저스트슬립 유성온천점,0,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,,,대전 유성구 온천로101번길 10-1,대전 유성구 봉명동 540-10,,,,1,118900,
c_c000834,서초휴양소,0,4,Y,2022-08-28 00:00:00.000,2022-08-29 00:00:00.000,4,,,충남 태안군 남면 안면대로 571-12,충남 태안군 남면 진산리 18-39,,,,1,60000,
c_c008171,더 시티 호텔,1,1,Y,2022-10-21 00:00:00.000,2022-10-22 00:00:00.000,1,,더시티호텔,충남 논산시 계백로 1008-4,충남 논산시 취암동 1040-13,3000095,4423010500,2022-10-21 00:38:00.000,1,75000,호텔비
c_c002518,한화리조트 대천파로스,0,4,Y,2022-09-30 00:00:00.000,2022-10-01 00:00:00.000,4,,,충남 보령시 해수욕장3길 11-10,충남 보령시 신흑동 2017,,,,1,113323,
b_b012637,에버그린펜션,1,3,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,4,8690702124,에버그린펜션,충남 태안군 안면읍 해안관광로 276-46,,3264036,4482525321,2022-10-29 16:46:00.000,1,109000,
c_c002187,레돈도펜션,0,3,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,3,,,전남 여수시 망양로 36,전남 여수시 덕충동 51-1,,,,5,129000,
c_c002978,더오래뜰,0,7,Y,2022-09-22 00:00:00.000,2022-09-23 00:00:00.000,1,,,전남 목포시 북교길 27,전남 목포시 북교동 61-3,,,,1,40435,
c_c004329,군산탑클라우드,0,1,Y,2022-10-11 00:00:00.000,2022-10-12 00:00:00.000,2,,,전북 군산시 번영로 150-13,,,,,1,150000,
c_c003822,힐하우스,0,3,Y,2022-09-30 00:00:00.000,2022-10-01 00:00:00.000,2,,,대전 서구 장안로 588,대전 서구 장안동 359,,,,5,115000,
c_c002955,낭만시대게스트하우스,1,7,Y,2022-10-01 00:00:00.000,2022-10-02 00:00:00.000,1,,전주 낭만시대 게스트하우스,전북 전주시 완산구 동문길 102,전북 전주시 완산구 경원동1가 12-3,4598082,4511110500,2022-09-30 22:41:00.000,1,17050,
c_c001323,공주산림휴양마을,1,9,Y,2022-09-01 00:00:00.000,2022-09-02 00:00:00.000,2,6048302007,충청남도 공주시 휴양사업소,충남 공주시 수원지공원길 222,,4553692,4415011000,2022-08-17 09:40:00.000,1,56000,차령산 6인실 1박
c_c009454,백마강오토캠핑장,0,5,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,4,,,,충남 부여군 규암면 호암리 234-2,,,,5,50000,
c_c000575,녹스호텔,10,1,,,,3,5788501945,녹스호텔,충남 천안시 서북구 성정공원6길 61,충남 천안시 서북구 성정동 1378,4550363,4413310200,2022-08-19 22:04:00.000,1,15000,호텔비
c_c010071,삼익모텔,1,2,Y,2022-10-28 00:00:00.000,2022-10-29 00:00:00.000,2,1018190575,(주)현대이지웰,서울 서대문구 충정로 23,서울 서대문구 충정로3가 470,3112011,1141010200,2022-10-28 00:00:00.000,3,57000,남원 삼익일반
c_c003125,아비숑모텔,1,2,Y,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-22 23:40:00.000,1,63500,순천 아비숑
c_c000158,제천더파인힐펜션,0,3,Y,2022-08-19 00:00:00.000,2022-08-21 00:00:00.000,8,,,충북 제천시 수산면 옥순봉로6길 61-37,충북 제천시 수산면 하천리 산 32-5,,,,5,800000,
a_a002570,소노문 단양,1,4,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,4,8158101244,십일번가 주식회사,서울 중구 한강대로 416,,2005005,1114011800,2022-09-22 10:07:00.000,1,85750,
c_c009562,S무인호텔,0,1,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,,,전남 순천시 역전길 46,전남 순천시 조곡동 131-6,,,,1,50000,
c_c008260,포레스트리솜,0,1,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,3,,,충북 제천시 백운면 금봉로 365,,,,,1,550000,
c_c002210,오늘도묘한밤,1,6,Y,2022-09-13 00:00:00.000,2022-09-14 00:00:00.000,2,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-08 00:00:00.000,1,66060,GU-잔잔한밤
c_c011351,호텔오노마대전오토그래프컬렉션,1,1,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,2958501754,(주)신세계센트럴시티호텔오노마,대전 유성구 엑스포로540번길 3,대전 유성구 전민동 379-1,4301278,3020014100,2022-10-30 15:42:00.000,1,258720,호텔비
c_c011362,올레무인호텔,1,1,Y,2022-10-27 00:00:00.000,2022-10-29 00:00:00.000,1,2208115770,나이스정보통신㈜,,,,,2022-10-27 00:00:00.000,1,105454,GWANGJU HANAM BUSINESS HOTEL
c_c001896,여수예술랜드,0,1,Y,2022-09-08 00:00:00.000,2022-09-09 00:00:00.000,3,,,전남 여수시 돌산읍 무술목길 142-1,,,,,1,229000,
c_c000925,대전사정공원,0,5,N,2022-09-02 00:00:00.000,2022-09-03 00:00:00.000,4,,,대전 중구 사정동 산1-4,,,,,,0,
c_c003071,무지개길 게스트하우스,1,7,Y,2022-10-08 00:00:00.000,2022-10-09 00:00:00.000,4,,,,,,,2022-08-01 12:36:00.000,3,80000,온돌룸 212호
c_c001866,태조궁,1,1,Y,2022-08-30 00:00:00.000,2022-08-31 00:00:00.000,2,5278800686,주식회사 카카오페이,경기 성남시 분당구 판교역로 152,경기 성남시 분당구 백현동 537,3179025,4113511000,2022-08-28 00:00:00.000,1,68000,전주한옥태조궁관광호텔
c_c001790,단양관광호텔,1,1,Y,2022-09-04 00:00:00.000,2022-09-05 00:00:00.000,2,2208115770,나이스정보통신㈜,,,,,2022-08-30 00:00:00.000,1,74728,DANYANG TOURIST HOTEL EDELWEISS
c_c002711,라한호텔 전주,1,1,Y,2022-09-30 00:00:00.000,2022-10-01 00:00:00.000,4,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-21 22:37:00.000,1,214000,HO-[MD PICK 특가]
c_c006400,쏠비치 진도,1,4,Y,2022-10-28 00:00:00.000,2022-10-30 00:00:00.000,5,,SONO HOTELS & RESORTS,서울 송파구 법원로 135,서울 송파구 문정동 641-3,3350849,1171010800,2022-10-30 09:21:00.000,1,440000,
c_c010877,(주)온양관광호텔,10,1,,,,1,3128164018,(주)온양관광호텔,충남 아산시 온천대로 1459,,3015033,4420010100,2022-10-31 11:29:00.000,1,10000,
c_c009818,와이(Y) 글램핑,0,5,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,,,,,,,,1,190000,
c_c000963,양촌공판장,1,3,N,2022-09-03 00:00:00.000,2022-09-03 00:00:00.000,10,3189006911,형제유통,대전 유성구 노은서로 25,대전 유성구 노은동 564-9,3167016,3020011900,2022-09-03 11:15:00.000,1,10000,
c_c002299,피크장,1,2,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-09-13 13:21:00.000,1,40000,부여피크장
c_c009753,웅천롯데캐슬마리나오피스텔,0,11,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,,,전남 여수시 웅천남7로 24,전남 여수시 웅천동 1887-1,,,,5,70000,
c_c002392,내소사,0,11,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,1,,,전북 부안군 진서면 내소사로 243,전북 부안군 진서면 석포리 268,,,,5,90000,
c_c001923,외암민속마을,0,6,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,2,,,충남 아산시 송악면 외암민속길 42-7,충남 아산시 송악면 외암리 84,,,,5,100000,
