COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,b_b005040,2,1,2,1
3,b_b006631,2,2,1,1
2,b_b000017,2,1,1,1
3,b_b001144,2,2,2,1
1,b_b006992,1,1,5,1
2,b_b002430,2,1,1,1
1,b_b010102,1,1,4,1
2,b_b001095,11,2,4,1
1,b_b014690,5,2,4,1
1,b_b001563,1,1,4,1
2,b_b001918,2,2,2,1
1,b_b000800,2,1,3,1
3,b_b004763,7,2,3,1
1,b_b004573,1,1,6,1
1,b_b011254,1,2,4,1
1,b_b000054,7,1,3,1
1,b_b003852,8,1,3,1
1,b_b003098,2,2,3,1
3,b_b002098,10,2,6,1
2,b_b018679,2,2,2,1
1,c_c002219,2,2,4,1
1,b_b018480,8,1,4,1
1,b_b006789,1,1,6,1
1,b_b004630,1,1,6,1
2,b_b004332,2,1,2,1
2,b_b001489,2,2,3,1
1,b_b004765,1,2,4,1
2,b_b008245,2,1,2,1
3,b_b004786,2,2,2,1
1,b_b004530,9,2,5,1
2,b_b004070,2,2,3,1
1,b_b004716,7,2,3,1
3,b_b003199,7,1,4,3
2,b_b008275,2,1,1,1
1,b_b003875,2,1,1,1
1,b_b003952,7,2,6,1
1,b_b016353,3,2,6,1
6,b_b004458,2,1,1,1
5,b_b001321,6,2,1,3
1,b_b014730,7,2,4,3
1,b_b007961,8,1,3,1
1,b_b010957,1,1,4,1
1,b_b000894,1,1,5,1
1,b_b005782,1,2,5,1
1,b_b001514,7,1,3,1
1,b_b015893,2,1,2,1
1,b_b012003,3,1,7,1
1,b_b002830,2,2,2,1
1,b_b011078,8,2,4,3
1,b_b006048,8,2,3,1
1,b_b009840,7,2,3,3
4,b_b004973,11,2,1,1
2,b_b000437,7,1,3,1
1,b_b004470,3,2,4,1
1,b_b015780,7,1,3,1
1,b_b000089,8,1,3,1
2,b_b015565,7,2,3,1
5,b_b004931,7,2,3,1
2,b_b015893,2,2,1,1
1,b_b004965,8,1,4,1
4,b_b015314,7,2,6,1
1,b_b007692,7,2,3,1
1,b_b007681,5,1,3,1
2,a_a004334,3,1,6,1
2,b_b011678,2,2,3,1
1,b_b011908,9,2,6,1
2,b_b000699,2,2,5,3
1,b_b002136,1,2,5,1
2,b_b004404,2,2,3,1
8,b_b000223,6,1,3,3
5,b_b000463,6,1,3,1
1,b_b016241,8,1,4,1
1,b_b001912,1,2,6,1
1,b_b005783,7,1,3,1
3,b_b014854,5,2,3,1
2,b_b007785,2,1,1,1
3,b_b011027,7,2,5,2
1,b_b011136,2,2,2,1
2,b_b001541,11,1,5,1
2,b_b008584,7,1,3,1
2,b_b014273,7,2,5,1
3,b_b008387,7,2,3,1
3,b_b004485,2,1,3,3
1,b_b000465,7,1,3,1
1,b_b006717,1,1,4,1
4,b_b004842,9,1,5,1
3,b_b000682,2,1,4,1
2,b_b002674,2,1,6,1
1,b_b011846,7,2,4,1
2,b_b000298,2,1,2,1
2,b_b011070,2,2,1,1
