TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d001240,D01,d001240,2;22;4;5;6;,2022-09-25,2022-10-01,자가용,39세 이하 자녀 동반 여행,2;22;4;5;6;,2;23;6
d_d006219,D01,d006219,1;28;22;3;,2022-10-27,2022-10-28,자가용,,1;28;22;3;,28;22;1
d_d006307,D01,d006307,1;8;9;,2022-10-21,2022-10-24,자가용,,1;8;9;,8;9;1
d_d010911,D01,d010911,2;22;26;,2022-11-01,2022-11-04,대중교통 등,39세 이하 커플 여행,2;22;26;,2;26;6
a_a005372,D02,a005372,1;22;24;5;,2022-10-08,2022-10-10,자가용,,1;22;24;5;,22;24;1
c_c005624,D02,c005624,22;6;9;,2022-10-08,2022-10-09,자가용,,22;6;9;,22;6;9
d_d002844,D01,d002844,1;28;4;7;,2022-10-04,2022-10-07,자가용,,1;28;4;7;,2;26;7
d_d006689,D01,d006689,10;2;23;5;6;,2022-10-28,2022-10-31,대중교통 등,,10;2;23;5;6;,23;7;21
d_d007753,D01,d007753,1;10;4;6;8;,2022-10-30,2022-11-02,대중교통 등,39세 이하 커플 여행,1;10;4;6;8;,22;23;24
a_a014180,D02,a014180,22;21;26;8;1;3;24;4;,2022-10-29,2022-10-31,자가용,,22;21;26;8;1;3;24;4;,21;8;22
d_d003286,D01,d003286,22;24;26;27;28;,2022-10-19,2022-10-24,대중교통 등,,22;24;26;27;28;,26;21;22
d_d002865,D01,d002865,8;25;24;26;,2022-10-08,2022-10-09,자가용,,8;25;24;26;,8;25;1
d_d004055,D02,d004055,1;7;8;10;13;22;21;24;26;28;23;27;2;1;,2022-10-29,2022-10-31,대중교통 등,,1;7;8;10;13;22;21;24;26;28;23;27;2;1;,22;24;2
d_d002591,D01,d002591,11;21;23;5;,2022-10-01,2022-10-04,대중교통 등,,11;21;23;5;,5;23;6
d_d007871,D01,d007871,1;12;22;26;,2022-10-28,2022-11-02,대중교통 등,39세 이하 부부 여행,1;12;22;26;,22;21;1
d_d000407,D01,d000407,2;,2022-08-28,2022-08-31,대중교통 등,39세 이하 자녀 동반 여행,2;,2;1;5
d_d001142,D01,d001142,21;22;5;,2022-09-28,2022-10-02,대중교통 등,,21;22;5;,5;21;22
d_d001803,D01,d001803,2;28;,2022-09-25,2022-09-26,자가용,,2;28;,2;28;22
d_d000587,D01,d000587,23;,2022-09-02,2022-09-05,대중교통 등,,23;,23;3;21
d_d001747,D01,d001747,22;23;4;7;9;,2022-10-02,2022-10-05,자가용,39세 이하 커플 여행,22;23;4;7;9;,23;22;21
d_d007397,D01,d007397,2;,2022-10-28,2022-10-30,자가용,,2;,2;12;24
d_d001630,D01,d001630,1;2;22;26;4;,2022-10-02,2022-10-05,대중교통 등,39세 이하 3인 이상 친구,1;2;22;26;4;,22;26;1
d_d009414,D01,d009414,21;22;5;6;7;,2022-11-01,2022-11-07,대중교통 등,,21;22;5;6;7;,7;22;5
d_d002038,D01,d002038,1;12;2;3;6;,2022-09-29,2022-10-08,대중교통 등,,1;12;2;3;6;,2;9;27
d_d001877,D01,d001877,21;,2022-10-04,2022-10-08,대중교통 등,,21;,21;27;10
d_d009256,D01,d009256,24;,2022-10-30,2022-11-03,대중교통 등,,24;,24;5;2
d_d009396,D01,d009396,25;,2022-11-05,2022-11-07,자가용,,25;,25;2;24
a_a001113,D02,a001113,8;,2022-09-05,2022-09-08,자가용,수도권 거주 39세 이하 자녀 동반,8;,1;8;3
d_d001394,D01,d001394,1;10;4;7;9;,2022-09-14,2022-09-20,대중교통 등,,1;10;4;7;9;,5;2;1
d_d002421,D01,d002421,2;22;23;26;4;,2022-09-30,2022-10-03,대중교통 등,39세 이하 커플 여행,2;22;23;26;4;,27;22;26
d_d003645,D01,d003645,2;24;27;6;9;,2022-10-09,2022-10-11,자가용,,2;24;27;6;9;,1;2;4
d_d009528,D01,d009528,2;21;22;24;,2022-11-02,2022-11-07,대중교통 등,,2;21;22;24;,22;24;21
d_d001547,D01,d001547,2;5;6;,2022-09-25,2022-09-28,대중교통 등,,2;5;6;,2;6;5
d_d001159,D01,d001159,2;21;23;24;26;,2022-09-25,2022-09-28,대중교통 등,,2;21;23;24;26;,23;27;24
d_d010531,D01,d010531,2;22;1;12;21;,2022-10-31,2022-11-03,대중교통 등,,2;22;1;12;21;,21;22;12
d_d001513,D01,d001513,11;2;5;6;,2022-09-27,2022-09-30,대중교통 등,39세 이하 자녀 동반 여행,11;2;5;6;,2;6;3
d_d010177,D01,d010177,5;22;26;28;,2022-11-05,2022-11-08,대중교통 등,,5;22;26;28;,1;5;28
d_d001291,D01,d001291,1;12;21;3;6;,2022-09-17,2022-09-20,대중교통 등,,1;12;21;3;6;,3;27;2
b_b001039,D02,b001039,23;25;,2022-08-31,2022-09-03,자가용,,23;25;,25;23;22
d_d012255,D01,d012255,22;26;27;28;,2022-11-06,2022-11-07,자가용,,22;26;27;28;,22;24;27
a_a000905,D02,a000905,21;22;3;,2022-08-20,2022-08-22,대중교통 등,,21;22;3;,22;3;21
d_d002264,D01,d002264,1;22;28;5;,2022-10-19,2022-10-25,대중교통 등,,1;22;28;5;,3;22;28
d_d005571,D01,d005571,10;22;6;,2022-11-05,2022-11-07,자가용,,10;22;6;,6;11;12
d_d001998,D01,d001998,1;22;23;5;6;,2022-10-29,2022-11-01,자가용,,1;22;23;5;6;,1;22;2
b_b006905,D02,b006905,4;27;26;22;,2022-11-06,2022-11-07,자가용,,4;27;26;22;,4;12;26
d_d010414,D01,d010414,21;22;23;4;5;,2022-10-30,2022-11-03,자가용,,21;22;23;4;5;,21;22;2
b_b009828,D02,b009828,1;12;23;6;9;,2022-10-20,2022-10-22,자가용,경상권에 거주하는 39세 이하 커플,1;12;23;6;9;,6;22;23
d_d001713,D01,d001713,24;28;4;7;9;,2022-10-01,2022-10-05,대중교통 등,,24;28;4;7;9;,7;28;9
a_a008642,D02,a008642,1;4;22;21;26;27;,2022-10-22,2022-10-24,대중교통 등,,1;4;22;21;26;27;,3;22;1
d_d002185,D01,d002185,11;2;23;5;,2022-10-02,2022-10-07,대중교통 등,40세 이상 자녀 동반 여행,11;2;23;5;,2;6;5
d_d009116,D01,d009116,21;22;23;6;7;,2022-11-02,2022-11-05,대중교통 등,,21;22;23;6;7;,28;22;5
b_b006007,D02,b006007,2;22;,2022-10-01,2022-10-02,,,2;22;,1;2;5
d_d003969,D01,d003969,12;2;22;3;5;,2022-10-09,2022-10-10,자가용,,12;2;22;3;5;,12;3;21
c_c007909,D02,c007909,10;22;23;24;26;,2022-10-23,2022-10-25,자가용,,10;22;23;24;26;,23;22;26
d_d009164,D01,d009164,1;7;22;4;,2022-10-28,2022-11-01,대중교통 등,,1;7;22;4;,7;22;21
d_d000473,D01,d000473,22;26;,2022-08-20,2022-08-23,자가용,,22;26;,26;24;22
d_d002835,D01,d002835,28;22;3;6;,2022-10-02,2022-10-06,대중교통 등,,28;22;3;6;,28;3;22
d_d009480,D01,d009480,21;24;25;27;,2022-10-28,2022-11-06,대중교통 등,,21;24;25;27;,25;21;1
d_d010492,D01,d010492,1;2;22;,2022-11-04,2022-11-08,자가용,39세 이하 부모 동반 여행,1;2;22;,22;6;2
d_d003270,D01,d003270,21;2;,2022-10-06,2022-10-10,대중교통 등,,21;2;,21;2;22
