TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
a_a018074,2211120003,4,1,,,,,
a_a004562,2210110001,1,1,,,,4,
a_a004370,2210030005,4,1,,,,,
a_a000187,2208150002,1,0,,냉면;음료수,N,1,
a_a006937,2210190003,1,0,,아이스아메리카노 톨 사이즈,N,4,
a_a001504,2208280003,1,0,,커피;딸기라떼;마들렌. 빵,N,1,
a_a005120,2210220002,2,2,,입욕제 충전기,N,1,
a_a001475,2208260006,5,0,,,,,
a_a000877,2208270004,6,0,,투유 광고 촬영지 방문,N,5,
a_a001649,2209240015,7,0,,,,,
a_a000448,2208270001,4,0,,,,,
a_a001142,2208280002,5,2,,,,,
a_a000954,2208200007,5,1,,,,,
a_a000675,2209030006,1,0,,구슬아이스크림,N,1,
a_a002844,2209240006,5,0,,,,,
a_a000056,2208080006,4,0,,,,,
a_a002053,2209170004,4,0,,,,,
a_a002470,2210020001,2,1,,모자;장신구 등 공예품 아이쇼핑,N,5,
a_a001037,2208270003,2,0,,물;과자;음료;술;부탄가스,N,1,
a_a000506,2209010001,1,0,,오마카세,Y,1,
a_a005677,2210030011,1,0,,시골팥빙수,N,1,
a_a006061,2210080011,3,0,,영화관람,Y,1,2
a_a004909,2210080002,6,4,,플로깅 sns 인생샷 촬영,N,5,
a_a001037,2208270005,4,2,,,,,
a_a003585,2210080002,7,1,,,,,
a_a005375,2210210006,2,2,,저녁식사류,N,1,
a_a000246,2208210012,1,0,,아이스크림;음료수;물,N,1,
a_a002664,2209230002,4,1,,,,,
a_a008693,2210160003,1,0,,아메리카노 라떼 케이크,Y,1,
a_a017744,2211120003,1,0,,물냉면,Y,1,
a_a014786,2211060003,1,0,,음료,N,1,
a_a003346,2210210003,1,0,,돼지찌개;계란말이와 공기밥 추가,N,1,
a_a000012,2208100004,1,1,,카페 아메리카노,N,4,
a_a001875,2209110003,1,0,,이동갈비,N,1,
a_a006674,2210150007,1,0,,고기 등의 가정식,N,4,
a_a000177,2208150005,5,1,,,,,
a_a013988,2210310004,2,1,,뿌링클호떡;인절미호떡,N,1,
a_a001133,2209030004,3,0,,월미도와 주변 그리고 인천항;영종도까지 볼 수 있었음,N,5,2
a_a011761,2210300001,4,3,,,,,
a_a008173,2210180002,4,0,,,,,
a_a001492,2208260005,4,0,,,,,
a_a015379,2210290002,2,1,,LED슈팅플라이;코끼리피리,N,1,
a_a007621,2210220002,1,0,,버터밀크시나몬롤,N,1,
a_a003108,2210010003,4,0,,,,,
a_a012267,2210280005,6,1,,바베큐;생일파티;수영;스파;노래,Y,5,
a_a003284,2210020002,6,1,,예배,N,5,
a_a007600,2210130003,3,1,,수목원유료입장.식물원과 수목원둘레길.연못내 오리;물고기. 분수대등,N,1,2
a_a002076,2209080004,1,0,,새우완탕면;초이삼 데침과 굴소스,N,1,
a_a009891,2210210005,2,3,,물,Y,5,
a_a002860,2209230002,1,0,,라운지이용 (애프터눈티;이브닝칵테일),Y,4,
a_a001729,2209180001,4,0,,,,,
a_a007194,2210220003,1,0,,볼로네제 라자냐-18;000/어니언숲-7;500/크림브륄레-4;000,N,1,
a_a001624,2209180002,4,1,,,,,
a_a001156,2208300006,4,1,,,,,
a_a010126,2210290001,2,1,,동물머리띠,N,1,
a_a002809,2209260002,1,0,,돈까스 우동 라멘,N,1,
a_a010073,2210290005,1,0,,쭈꾸미,N,1,
a_a000299,2208280001,2,0,,토분,N,1,
a_a012023,2210250003,1,4,,생선구이,Y,4,
a_a004118,2210020002,4,1,,,,,
a_a004415,2209300004,2,0,,가방,N,5,
a_a010249,2210220004,1,0,,고등어구이 정식;양념게장 한마리,N,1,
a_a005553,2210100003,4,0,,,,,
a_a001971,2209100002,1,0,,닭꼬치;생과일주스,N,4,
a_a005154,2210140003,3,2,,남한산성 행궁 기념품샵 구경,Y,5,2
a_a007144,2210220005,4,2,,,,,
a_a004528,2210070002,1,0,,한우쌀국수와 튀김 그리고 해산물팟타이,N,1,
a_a006022,2210040002,4,0,,,,,
a_a008702,2210160002,2,0,,의료매트,N,5,
a_a003844,2210010006,1,0,,회 포장,N,1,
a_a004483,2210010003,4,1,,,,,
a_a010149,2210220007,1,0,,바닐라빈카페라떼,N,1,
a_a008020,2210270005,1,0,,메밀 간짜장;짬뽕밥;탕수육(소),N,1,
a_a007759,2210160003,1,0,,국수;꼬치세트,N,1,
a_a001808,2209240008,5,0,,,,,
a_a003525,2210230003,2,0,,맥북 아이쇼핑,N,5,
a_a000817,2208310002,3,1,,창덕궁 관람,N,5,2
a_a006197,2210170003,4,1,,,,,
a_a004176,2210020011,1,0,,돼지김치구이;소주;콜라,N,1,
a_a018100,2211120005,2,0,,아기 천기저귀;거즈손수건,N,1,
a_a003703,2210290003,1,0,,닭강정,N,1,
a_a002246,2209160014,1,0,,커스터드 푸딩;아이스아메리카노,N,1,
a_a004205,2210010007,4,0,,,,,
a_a009605,2210200004,4,0,,,,,
a_a005668,2210220006,2,0,,빵,N,1,
a_a013915,2210300011,1,0,,핫초코;자몽허니블랙티,N,1,
b_b006925,2210290005,3,0,,나오라쇼 관람,N,5,2
a_a018230,2211120010,2,0,,캐릭터 러그,N,1,
a_a017947,2211090003,1,0,,특선 회덮밥,N,1,
a_a009924,2210200005,2,0,,게임,N,5,
a_a001741,2209170005,3,1,,종묘 입장 및 관람,N,1,2
b_b011114,2211020007,4,0,,,,,
