COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,c_c002774,8,2,4,1
3,c_c006443,11,2,1,1
1,c_c012378,1,2,5,1
6,c_c000341,7,2,4,1
1,c_c012743,8,1,3,1
2,c_c013674,3,2,6,1
1,c_c012884,3,1,6,1
1,c_c005026,2,2,3,1
2,a_a006465,7,2,3,1
1,c_c008269,5,2,3,1
1,c_c002596,7,2,3,2
3,c_c000434,2,1,1,1
9,c_c004855,11,1,1,3
2,c_c002614,7,2,5,1
2,c_c011790,2,1,1,1
3,c_c014290,2,1,2,1
2,c_c014170,2,1,2,1
3,c_c002220,6,1,4,3
5,c_c002346,7,1,7,3
5,c_c004041,9,1,4,3
5,c_c000963,7,1,5,3
6,c_c004229,6,2,2,1
2,c_c006792,9,1,6,1
4,c_c000118,11,2,4,1
2,c_c006526,7,2,4,1
3,c_c013773,7,2,4,1
2,c_c011974,2,1,2,1
1,c_c005826,2,2,3,1
1,c_c014291,1,1,4,1
1,c_c004900,7,2,5,1
1,b_b014399,3,1,7,1
6,c_c000118,2,2,1,1
1,c_c000722,7,1,3,1
2,c_c012335,2,2,2,1
1,c_c014185,1,2,4,1
1,c_c009827,8,1,4,1
8,c_c002734,10,1,4,1
1,c_c008153,9,1,6,1
1,c_c001333,1,2,3,1
3,c_c000518,2,2,1,1
1,c_c014188,2,1,1,1
1,c_c006111,1,1,4,1
2,c_c003692,2,2,1,1
1,c_c014398,1,1,4,1
2,c_c009822,2,1,1,1
3,c_c003104,9,2,5,1
2,c_c000915,6,2,2,1
1,c_c012069,8,2,3,1
1,c_c003796,8,1,4,1
2,c_c004631,3,2,6,1
1,c_c001888,1,2,4,1
2,c_c001567,2,2,4,1
5,c_c002278,5,2,4,1
4,c_c001185,2,1,1,1
2,c_c006132,2,1,2,1
3,c_c005694,2,1,2,1
2,c_c003255,7,2,4,1
1,c_c000899,1,1,4,1
1,c_c014218,7,1,4,1
1,c_c000695,1,2,4,1
1,c_c014286,7,2,5,1
1,c_c000408,1,2,4,1
1,c_c009355,3,2,8,1
3,c_c009369,2,2,1,1
1,c_c000352,3,1,4,1
1,c_c008893,5,2,3,1
3,c_c009273,2,1,1,1
1,c_c003286,8,1,5,1
1,c_c004041,9,1,4,1
5,c_c001625,5,1,4,3
3,c_c002909,4,1,8,1
3,c_c004309,2,2,3,1
