TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
b_b000905,2208220003,1,0,,커피;주유,Y,4,
b_b000008,2208050002,3,0,,꿀뜨기 체험;꿀벌 종류 역할 벌집 기능 등 전시 관람,Y,5,1
b_b002297,2208220001,1,0,,순두부전골,N,1,
b_b002617,2208250007,3,0,,천마총 등 역사유적 관람,N,1,2
b_b013760,2211060004,1,0,,커피; 쿠키;에이드,N,1,
b_b002358,2208190004,3,1,,통일전망대 관람 북한 구경(금강산;개성공단 가는길),N,5,2
b_b007044,2210080005,1,0,,김밥,N,1,
b_b002264,2208230004,1,0,,황기찐빵,N,2,
b_b014157,2210280006,3,0,,관람,N,1,2
b_b004658,2209280003,1,0,,음료(아이스아메리카노+복숭아 에이드),N,4,
b_b015199,2210310001,4,1,,,,,
b_b000498,2208290004,1,0,,아이스크림커피;아메리카노,N,1,
b_b009545,2210280004,1,0,,아이스크림 커피,Y,1,
b_b004417,2210150006,1,0,,빵,N,1,
b_b015139,2211010003,2,1,,숙박,Y,5,
b_b002643,2209020006,2,0,,아침삭사용 구운란;시리얼;우유;두유;사과 등,N,1,
b_b000411,2208270004,1,0,,메밀전병;수수부꾸미;올챙이국수;배추전,N,4,
b_b004561,2210010008,2,4,,간식 (주류 및 안주),N,1,
b_b002752,2208220002,1,0,,하루앤소쿠 메밀면;돈까스;감자빵;노점상떡볶이 순대;고로케;튀김;음료,N,1,
b_b008164,2210160005,2,2,,카카오프렌즈 굿즈,N,5,
b_b015849,2211050009,1,0,,육쪽마늘빵,N,1,
b_b001073,2208270003,5,1,,,,,
b_b000570,2208110008,5,2,,,,,
b_b002538,2208230002,1,0,,카페라떼;텐저린진저티;아메리카노,N,1,
b_b015936,2211050010,7,0,,,,,
c_c002456,2209270006,3,0,,월정교 노을이랑 야경구경,N,5,2
b_b014891,2210280004,1,2,,음료및빵,N,1,
b_b001606,2208200003,1,0,,양꼬치 외 꼬치류;꿔바로우;소주 등,N,1,
b_b004473,2210030003,1,1,,아이스 토피넛 라떼,N,1,
b_b006803,2210260004,2,1,,옹심이 포장,N,1,
b_b003182,2209040003,1,0,,소갈비 1.3kg 세트;된장찌개 세트,N,1,
b_b004306,2209240010,1,0,,음료수 (포카리스웨트),Y,1,
b_b005273,2210220004,3,0,,놀이기구 탑승,Y,1,1;2
b_b005741,2210010006,3,1,,입장;관람,N,5,2
b_b002624,2208210003,4,0,,,,,
b_b001697,2208200012,3,1,,동궁과 월지 입장,N,5,
b_b004600,2209290004,4,1,,,,,
b_b002328,2208260002,4,1,,,,,
b_b014993,2210290010,5,0,,,,,
b_b002045,2208290004,1,4,,아메리카노;바닐라라떼,N,1,
b_b007972,2210220006,1,0,,김치찌개 뚝배기불고기 제육볶음,N,1,
b_b004647,2209250004,4,0,,,,,
b_b003968,2209180001,5,0,,,,,
b_b000195,2208150004,1,0,,닭불백숙,N,1,
b_b002022,2208180004,5,0,,,,,
b_b002303,2208200002,5,1,,,,,
b_b009599,2210220007,1,0,,커피;레몬치즈케이크,N,1,
b_b000781,2208310001,1,0,,비엔나커피;모모 케이크;생크림롤,Y,1,
b_b000916,2208270001,2,0,,의류,N,1,
b_b011545,2211050004,1,0,,달고미라떼;자몽차,N,1,
b_b013697,2210290007,3,2,,음악회 감상,N,5,2
b_b004748,2209250005,3,0,,향교 건물 구경,N,5,2
