TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
b003034,41,여,40,6,1,2,4,3,,3,6,2,1,42,42150,50,50130,42,42210,1,1,1,1,1,4,1,7,서울특별시,강원,3인 이상 여행(가족 외),2022-08-28~2022-08-29,2,1,7,2
b006481,28,여,30,6,1,1,1,3,,4,,2,1,50,50130,42,42210,26,26350,2,2,1,3,6,4,6,5,인천광역시,강원,나홀로 여행,2022-10-17~2022-10-17,1,2,4,0
b005369,11,남,20,5,1,1,2,4,,3,6,3,3,26,26350,42,42830,46,46820,4,3,1,5,5,5,5,7,서울특별시,부산,나홀로 여행,2022-10-11~2022-10-12,7,5,1,0
b015843,50,남,30,6,1,2,2,2,,7,11,1,1,42,42210,44,44825,30,30200,1,1,1,4,4,1,1,4,제주특별자치도,강원,2인 가족 여행,2022-11-05~2022-11-05,1,7,3,1
b015428,48,남,40,6,1,2,4,3,,6,8,3,7,50,50130,42,42720,26,26500,3,3,3,3,4,6,3,6,경상남도,경북,3인 이상 여행(가족 외),2022-10-29~2022-10-29,3,8,7,3
b001065,41,남,40,7,1,2,3,3,,9,10,3,4,42,42210,26,26350,50,50130,7,1,4,2,2,6,6,2,경기도,경북,3인 이상 여행(가족 외),2022-09-01~2022-09-02,3,2,7,6
b001967,41,여,40,6,1,2,3,,1,1,5,2,1,42,42210,42,42150,44,44770,3,2,4,5,5,3,5,5,경기도,강원,3대 동반 여행(친척 포함),2022-08-21~2022-08-24,3,2,7,4
b004903,27,여,30,6,1,1,5,3,,4,5,2,1,26,26350,47,47110,11,11110,6,6,7,4,4,5,4,2,대구광역시,부산,2인 가족 여행,2022-10-05~2022-10-06,1,5,2,1
b009776,48,여,30,5,1,2,4,11,,1,5,2,2,27,27290,48,48870,48,48120,7,7,6,4,4,3,6,2,경상남도,대구,나홀로 여행,2022-10-19~2022-10-19,4,7,1,0
b005429,11,남,30,6,1,1,1,2,,5,,2,1,50,50110,42,42150,26,26260,2,2,2,3,2,2,6,2,서울특별시,경북,2인 여행(가족 외),2022-10-01~2022-10-02,3,2,4,1
