COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,d_d006351,5,2,5,1
2,d_d005308,7,2,3,1
1,d_d001493,10,1,5,1
3,d_d004315,5,1,3,1
3,a_a004869,7,1,4,1
2,c_c000982,2,1,1,1
1,d_d000846,1,2,6,1
2,d_d006991,2,2,2,1
3,a_a000007,1,1,5,1
2,d_d002273,2,1,4,3
5,d_d002328,3,1,8,1
1,c_c002492,7,2,5,3
1,d_d009464,8,1,3,1
1,d_d001672,1,1,7,1
2,d_d007551,2,1,1,1
2,d_d000224,6,2,1,1
1,d_d003798,1,2,5,1
1,d_d001682,8,1,4,1
5,d_d002345,2,2,1,1
1,a_a007125,1,2,6,1
1,d_d003976,8,2,3,1
2,d_d003031,2,2,3,1
1,d_d001369,5,2,3,2
3,d_d001640,5,1,3,1
1,d_d001855,8,2,3,1
2,d_d003924,2,1,1,1
1,d_d006919,1,2,1,1
1,d_d000608,1,2,5,1
15,d_d000373,9,1,3,1
1,c_c002610,8,1,3,1
12,d_d002473,11,2,2,1
3,d_d009219,6,2,5,1
1,d_d002033,1,2,3,1
3,d_d012389,2,2,4,1
2,d_d006666,2,2,4,1
1,c_c001813,3,1,5,1
1,d_d000296,1,2,5,1
1,d_d003356,3,2,5,1
1,d_d010362,7,2,3,1
2,d_d007084,2,2,3,1
1,b_b009691,8,2,3,1
1,d_d005437,2,2,4,1
1,d_d004390,8,1,4,1
15,c_c006685,10,1,6,1
2,a_a004257,11,1,3,1
1,d_d000239,1,2,4,1
3,d_d005976,1,2,4,1
3,d_d000213,2,1,1,1
2,a_a000310,3,2,5,1
3,a_a010968,7,1,3,1
1,d_d003907,1,1,7,1
1,d_d010109,1,1,7,1
3,a_a000328,2,2,1,1
1,d_d012361,8,1,4,1
1,d_d000058,1,2,4,1
3,d_d002810,7,1,3,1
2,d_d002305,2,2,1,1
5,d_d001961,2,2,4,3
1,d_d012429,7,2,3,1
3,d_d004256,2,2,1,1
1,d_d001385,1,2,6,1
8,d_d007128,6,2,2,1
3,d_d010492,5,2,3,1
1,d_d001278,1,1,7,1
3,d_d000072,2,1,1,1
2,d_d000267,6,1,4,1
1,a_a003558,7,2,5,1
3,d_d004268,2,1,1,1
3,d_d005892,5,2,3,1
1,d_d004601,7,2,3,1
2,b_b008495,9,1,3,2
1,b_b003295,1,1,6,1
2,d_d002758,2,2,3,1
1,d_d007085,1,1,5,1
2,d_d012203,3,2,7,1
1,d_d001500,8,2,4,3
3,d_d003058,7,1,3,1
1,a_a011501,7,2,4,1
1,d_d000892,2,2,4,1
1,d_d003545,7,1,3,2
5,d_d001665,9,2,5,1
1,a_a005007,8,2,3,1
1,d_d006903,1,2,4,1
1,d_d008017,8,1,3,1
3,d_d010801,7,2,5,3
2,d_d002473,10,2,5,1
1,c_c002783,3,1,5,1
4,a_a004897,2,1,1,1
1,d_d003696,7,2,6,1
2,d_d000392,2,1,1,3
2,d_d010973,6,2,3,3
3,d_d005935,2,1,1,1
1,d_d009732,8,2,3,1
2,d_d006919,2,2,3,1
1,d_d002943,1,1,5,1
3,d_d009590,6,1,1,1
1,d_d004970,1,1,5,1
7,d_d007128,6,1,2,1
3,d_d001658,7,2,4,2
2,d_d001289,2,2,1,1
1,d_d001091,8,1,4,1
1,d_d006661,8,2,3,2
1,d_d010107,7,1,3,1
3,d_d001841,7,2,3,1
1,d_d000684,1,2,4,1
2,d_d000299,2,2,1,1
2,d_d009222,2,2,1,1
2,d_d002533,9,1,4,1
2,d_d002671,5,2,4,1
3,d_d000962,7,2,4,1
2,b_b000212,2,1,1,1
1,d_d001415,2,2,6,1
9,d_d000373,9,2,4,1
2,d_d001770,2,1,1,1
1,d_d009158,3,1,7,1
3,a_a008091,7,2,3,1
2,a_a003151,10,1,5,1
1,d_d001731,2,1,1,1
2,a_a001883,7,2,4,1
4,d_d002256,7,2,3,2
4,d_d004523,2,2,1,1
3,d_d005975,11,2,1,1
7,d_d001941,11,2,1,1
6,d_d007799,6,1,5,1
1,d_d001631,8,2,4,1
1,d_d002483,3,1,8,1
3,d_d001984,7,2,5,1
1,b_b002249,3,1,5,1
2,d_d007369,2,2,1,1
2,c_c000260,7,1,4,3
1,d_d000025,8,2,3,1
1,a_a002615,1,2,6,1
4,d_d002251,10,2,4,2
2,d_d002386,2,1,1,1
1,c_c003161,1,1,5,1
3,d_d002744,5,1,4,1
3,d_d001411,2,2,4,1
2,d_d004268,2,1,1,1
1,d_d000177,7,2,4,1
1,d_d000891,8,2,3,1
1,d_d000870,1,1,5,1
1,d_d002267,1,1,6,1
2,d_d000284,2,2,2,1
3,d_d001994,2,1,2,1
1,a_a006433,8,2,4,1
3,d_d000451,5,1,3,1
1,d_d001701,3,1,5,1
1,d_d000709,8,2,3,1
3,d_d002965,2,1,1,1
1,d_d001296,10,1,5,1
1,d_d000349,1,2,5,1
1,c_c000263,1,2,6,1
4,a_a000333,2,1,1,1
1,a_a001131,1,2,4,1
2,d_d006778,2,1,1,1
3,b_b001039,2,2,3,1
4,d_d002439,1,1,7,1
5,c_c002171,6,2,7,3
5,a_a000652,7,2,4,3
3,d_d007963,5,2,4,3
2,d_d004187,2,2,2,1
2,d_d006359,2,2,1,1
