TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
b_b008047,B05,b008047,22;5;,2022-10-15,2022-10-16,대중교통 등,,22;5;,22;5;24
b_b008370,B01,b008370,1;2;21;5;,2022-10-22,2022-10-24,자가용,수도권/강원에 거주하는 40세 이상 부모 동반,1;2;21;5;,21;5;23
b_b000460,B04,b000460,4;6;,2022-08-07,2022-08-09,대중교통 등,경상권 외에 거주하는 39세 이하 커플,4;,6;4;2
d_d001359,B01,d001359,1;2;23;3;6;,2022-09-15,2022-09-20,대중교통 등,39세 이하 3인 이상 친구,1;2;23;3;6;,8;2;6
b_b004972,B01,b004972,28;,2022-10-16,2022-10-18,대중교통 등,,28;,8;28;2
b_b011931,B02,b011931,1;22;,2022-10-30,2022-10-31,대중교통 등,,1;22;,1;22;24
b_b008358,B01,b008358,28;,2022-10-19,2022-10-21,자가용,,28;,28;3;24
b_b014468,B03,b014468,1;2;22;3;6;,2022-10-31,2022-11-01,대중교통 등,,1;2;22;3;6;,3;2;6
b_b001134,B01,b001134,2;21;23;3;,2022-08-21,2022-08-24,자가용,,2;21;23;3;,3;23;21
b_b004855,B02,b004855,1;22;4;7;9;,2022-09-24,2022-09-25,대중교통 등,,1;22;4;7;9;,7;9;1
b_b009661,B02,b009661,1;2;4;7;6;22;28;26;24;,2022-10-29,2022-10-31,대중교통 등,,1;2;4;7;6;22;28;26;24;,1;7;24
b_b011006,B06,b011006,22;26;9;,2022-11-05,2022-11-06,,,22;26;9;,28;22;2
b_b004651,B03,b004651,22;3;4;5;,2022-09-24,2022-09-26,자가용,,22;3;4;5;,22;3;5
b_b007464,B06,b007464,9;,2022-10-15,2022-10-16,자가용,,9;,9;11;6
b_b000618,B04,b000618,10;22;23;4;7;,2022-08-12,2022-08-16,대중교통 등,경상권 외에 거주하는 39세 이하 커플,7;,23;22;7
b_b000931,B01,b000931,24;25;27;5;8;,2022-08-19,2022-08-22,자가용,,24;25;27;5;8;,8;22;25
b_b000072,B01,b000072,10;13;21;23;24;,2022-08-24,2022-08-26,자가용,,1;,13;21;1
b_b000720,B01,b000720,1;,2022-09-01,2022-09-02,대중교통 등,,1;,22;5;27
b_b007090,B01,b007090,22;24;26;27;7;,2022-10-24,2022-10-25,대중교통 등,,22;24;26;27;7;,1;22;2
b_b002190,B03,b002190,1;2;3;4;9;,2022-09-06,2022-09-08,자가용,,1;2;3;4;9;,3;10;23
b_b006510,B01,b006510,21;25;,2022-10-01,2022-10-02,자가용,,21;25;,25;21;24
b_b004336,B02,b004336,1;2;3;,2022-09-26,2022-09-27,대중교통 등,,1;2;3;,2;1;3
b_b009263,B03,b009263,3;4;6;9;2;,2022-10-29,2022-10-30,대중교통 등,,3;4;6;9;2;,3;1;4
b_b002719,B01,b002719,26;5;6;,2022-09-07,2022-09-09,자가용,수도권/강원에 거주하는 39세 이하 커플,26;5;6;,5;6;26
b_b001088,B01,b001088,22;24;26;27;5;,2022-08-16,2022-08-21,자가용,,22;24;26;27;5;,24;22;26
b_b005218,B01,b005218,21;22;26;,2022-10-01,2022-10-03,자가용,,21;22;26;,21;24;9
b_b011935,B01,b011935,2;21;24;4;,2022-10-29,2022-10-30,대중교통 등,,2;21;24;4;,21;4;27
b_b002691,B03,b002691,22;24;26;3;4;,2022-08-29,2022-08-31,자가용,,22;24;26;3;4;,3;22;4
b_b011097,B01,b011097,2;5;,2022-10-27,2022-10-28,,,2;5;,3;22;27
b_b005876,B03,b005876,2;,2022-10-07,2022-10-09,자가용,경상권에 거주하는 39세 이하 커플,2;,2;22;23
b_b001149,B01,b001149,1;23;24;3;4;,2022-08-22,2022-08-25,자가용,,1;23;24;3;4;,1;3;27
b_b009543,B03,b009543,13;28;,2022-10-22,2022-10-23,자가용,,13;28;,28;13;1
b_b006588,B03,b006588,2;22;4;,2022-10-30,2022-10-31,,,2;22;4;,2;3;4
b_b008430,B06,b008430,11;12;21;26;9;,2022-10-25,2022-10-27,자가용,,11;12;21;26;9;,2;3;9
b_b005701,B01,b005701,21;27;3;6;,2022-10-13,2022-10-15,자가용,,21;27;3;6;,21;3;27
a_a006811,B01,a006811,28;,2022-10-15,2022-10-16,,,28;,28;22;5
b_b012015,B06,b012015,28;,2022-10-29,2022-10-30,자가용,,28;,2;24;12
b_b004944,B01,b004944,23;5;,2022-09-28,2022-09-30,대중교통 등,,23;5;,23;24;5
b_b001968,B03,b001968,1;2;3;4;6;,2022-08-24,2022-08-27,자가용,,1;2;3;4;6;,3;2;4
b_b007533,B01,b007533,26;6;,2022-10-22,2022-10-23,,,26;6;,6;26;1
b_b005122,B05,b005122,22;23;26;,2022-10-01,2022-10-03,자가용,,22;23;26;,22;23;3
b_b018572,B04,b018572,1;7;,2022-11-12,2022-11-13,,,1;7;,1;4;21
b_b014708,B03,b014708,3;,2022-10-30,2022-11-01,자가용,,3;,9;22;3
b_b001863,B01,b001863,22;24;27;5;9;,2022-08-27,2022-08-29,자가용,,22;24;27;5;9;,5;9;22
b_b015436,B01,b015436,1;21;27;4;7;,2022-10-29,2022-10-31,대중교통 등,,1;21;27;4;7;,21;1;7
b_b003897,B01,b003897,1;2;22;3;6;,2022-09-29,2022-10-02,대중교통 등,,1;2;22;3;6;,1;3;22
b_b015822,B06,b015822,3;13;,2022-11-05,2022-11-06,,,3;13;,3;6;22
b_b002283,B01,b002283,1;2;4;8;9;,2022-08-22,2022-08-25,자가용,,1;2;4;8;9;,4;22;21
b_b011414,B01,b011414,21;22;27;5;9;,2022-10-23,2022-10-24,자가용,,21;22;27;5;9;,27;9;2
b_b000176,B02,b000176,1;2;4;,2022-08-13,2022-08-15,자가용,,1;,4;21;24
c_c010859,B01,c010859,21;24;,2022-11-02,2022-11-03,,,21;24;,4;21;24
b_b005547,B01,b005547,1;22;,2022-10-01,2022-10-03,자가용,,1;22;,22;4;1
b_b010878,B06,b010878,5;28;,2022-10-29,2022-10-31,자가용,,5;28;,5;27;28
b_b012595,B03,b012595,23;24;26;27;3;,2022-10-26,2022-10-27,자가용,,23;24;26;27;3;,3;1;26
b_b015424,B02,b015424,21;28;,2022-10-29,2022-10-30,자가용,,21;28;,28;21;22
b_b007518,B01,b007518,2;,2022-10-16,2022-10-17,,,2;,2;24;9
b_b007209,B03,b007209,3;22;24;27;26;,2022-10-18,2022-10-19,대중교통 등,,3;22;24;27;26;,3;22;1
b_b005094,B01,b005094,21;22;,2022-10-08,2022-10-10,자가용,,21;22;,21;22;2
b_b009466,B04,b009466,22;23;24;,2022-10-22,2022-10-24,대중교통 등,,22;23;24;,23;6;9
b_b015438,B04,b015438,1;12;22;23;6;,2022-10-29,2022-11-01,대중교통 등,,1;12;22;23;6;,23;4;12
b_b003681,B04,b003681,1;13;21;27;4;,2022-08-27,2022-08-29,대중교통 등,,1;13;21;27;4;,4;21;13
b_b010049,B02,b010049,22;1;7;,2022-11-05,2022-11-07,대중교통 등,,22;1;7;,22;1;3
b_b006875,B03,b006875,11;22;6;,2022-10-08,2022-10-09,자가용,,11;22;6;,5;9;11
b_b004735,B01,b004735,2;22;5;,2022-09-25,2022-09-27,자가용,,2;22;5;,2;6;22
b_b000571,B03,b000571,10;2;23;3;8;,2022-08-20,2022-08-24,자가용,경상권에 거주하는 39세 이하 커플,2;,2;5;8
b_b006316,B02,b006316,1;12;2;4;9;,2022-10-01,2022-10-02,자가용,,1;12;2;4;9;,4;6;22
