TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a000386,A03,a000386,10;21;5;6;,2022-08-28,2022-08-30,자가용,,10;21;5;6;,27;24;21
a_a009643,A01,a009643,1;22;6;,2022-10-22,2022-10-24,대중교통 등,,1;22;6;,6;26;3
a_a000647,A01,a000647,1;21;22;26;4;,2022-09-03,2022-09-05,대중교통 등,,1;21;22;26;4;,1;6;26
c_c014246,A02,c014246,1;21;22;28;,2022-11-12,2022-11-13,,충청권에 거주하는 39세 이하 커플,1;21;22;28;,4;22;24
a_a005038,A01,a005038,1;22;24;27;9;,2022-10-08,2022-10-09,자가용,,1;22;24;27;9;,9;4;22
a_a003164,A03,a003164,8;,2022-10-01,2022-10-04,자가용,수도권 거주 40세 이상 자녀 동반,8;,8;5;28
a_a001080,A01,a001080,1;2;22;6;7;,2022-09-04,2022-09-08,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;6;7;,23;7;22
a_a000635,A01,a000635,1;22;23;6;9;,2022-08-27,2022-08-30,대중교통 등,,1;22;23;6;9;,9;1;22
a_a008109,A03,a008109,6;7;,2022-10-23,2022-10-24,대중교통 등,수도권 거주 39세 이하 커플,6;7;,6;7;4
a_a012091,A01,a012091,22;4;6;,2022-10-29,2022-10-30,대중교통 등,,22;4;6;,6;9;1
a_a005603,A01,a005603,1;22;4;3;,2022-10-01,2022-10-02,대중교통 등,,1;22;4;3;,4;3;6
a_a000196,A01,a000196,1;2;3;4;6;,2022-08-17,2022-08-20,대중교통 등,수도권 외 거주 39세 이하 커플,1;,2;4;6
c_c000072,A03,c000072,10;23;,2022-08-15,2022-08-17,자가용,,2;,2;7;24
a_a005899,A03,a005899,1;12;2;22;26;,2022-10-09,2022-10-10,자가용,수도권 거주 39세 이하 부부,1;12;2;22;26;,6;12;22
a_a000469,A01,a000469,23;3;4;6;9;,2022-08-27,2022-08-29,대중교통 등,,23;3;4;6;9;,6;11;4
a_a004092,A03,a004092,1;2;27;28;3;,2022-10-02,2022-10-05,자가용,수도권 거주 39세 이하 커플,1;2;27;28;3;,2;12;22
a_a017256,A01,a017256,6;1;22;26;4;,2022-11-05,2022-11-07,대중교통 등,수도권 외 거주 39세 이하 커플,6;1;22;26;4;,6;22;4
a_a003274,A03,a003274,2;22;24;27;,2022-09-30,2022-10-03,대중교통 등,,2;22;24;27;,5;27;2
a_a002616,A01,a002616,22;26;6;,2022-09-20,2022-09-21,대중교통 등,,22;26;6;,6;26;4
a_a009629,A03,a009629,13;4;8;,2022-10-29,2022-10-31,자가용,,13;4;8;,13;4;24
a_a001187,A02,a001187,1;24;27;28;7;,2022-08-27,2022-08-29,대중교통 등,,1;24;27;28;7;,6;26;28
a_a007219,A01,a007219,1;,2022-10-28,2022-10-29,,,1;,11;1;3
a_a000573,A03,a000573,22;23;24;,2022-08-20,2022-08-22,대중교통 등,,22;23;24;,23;22;2
a_a002726,A01,a002726,1;22;24;26;4;,2022-09-24,2022-09-25,대중교통 등,,1;22;24;26;4;,4;22;26
a_a000655,A01,a000655,1;22;23;3;4;,2022-09-02,2022-09-05,자가용,수도권 거주 39세 이하 3인 이상 친구,1;22;23;3;4;,1;4;23
a_a014171,A03,a014171,1;21;22;26;,2022-10-30,2022-10-31,자가용,,1;21;22;26;,21;1;22
a_a006725,A01,a006725,21;22;4;6;9;,2022-10-12,2022-10-13,대중교통 등,,21;22;4;6;9;,6;21;22
a_a001500,A02,a001500,1;22;24;26;4;,2022-08-27,2022-08-29,자가용,수도권 거주 39세 이하 커플,1;22;24;26;4;,1;3;4
a_a006020,A03,a006020,1;,2022-10-08,2022-10-09,,,1;,1;5;3
a_a006638,A01,a006638,3;6;11;,2022-10-08,2022-10-09,대중교통 등,수도권 거주 40세 이상 3인 이상 친구,3;6;11;,3;1;6
