TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,new_variable_renewed
d_d004695,성산일출봉,서귀포,성산읍,1,5.0,5.0,5.0,60.0,1,d004695,21,여,20,0,3,1,3,4,3,2,5,6,1.0,6,0,1.1363636363636362,1.25,1.1904761904761905,0.34168299171862404,0.2840876123476146
d_d003432,신화워터파크,서귀포,안덕면,6,4.0,4.0,4.0,240.0,0,d003432,2,여,40,0,1,1,1,4,3,3,1,7,3.0,2,3,0.9230769230769231,0.9230769230769231,0.9230769230769231,-0.1313037022640596,-0.1062411155984011
d_d008112,함덕해수욕장,제주,조천읍,1,4.0,4.0,4.0,60.0,1,d008112,22,여,20,0,4,4,5,3,4,5,6,7,9.0,7,4,1.1428571428571428,1.3333333333333333,1.3333333333333333,0.48495075600773657,0.3578019928396879
d_d004763,환상숲곶자왈공원,제주,한경면,1,5.0,5.0,5.0,90.0,1,d004763,21,남,20,1,4,1,4,1,7,4,7,2,8.0,2,0,1.0,1.0,1.0,0.0,0.0
d_d006167,세화해변,제주,구좌읍,1,5.0,5.0,5.0,720.0,0,d006167,8,남,50,1,1,2,3,7,2,4,7,6,7.0,2,0,1.6666666666666667,1.1111111111111112,1.1111111111111112,0.434754101862942,0.4526398988950596
d_d012407,오설록티뮤지엄,서귀포,안덕면,3,4.0,3.0,4.0,30.0,1,d012407,22,여,30,0,3,4,3,4,6,5,2,6,3.0,2,2,1.0,1.0,1.0,0.0,0.0
d_d002450,성산일출봉,서귀포,성산읍,2,4.0,2.0,5.0,60.0,0,d002450,3,여,30,1,2,1,1,2,4,4,4,4,1.0,1,1,1.0,0.5555555555555556,1.1904761904761905,-0.19007475098109772,-0.374493149032867
d_d001347,쇠소깍,서귀포,하효동,1,5.0,5.0,5.0,60.0,0,d001347,11,여,20,0,1,1,1,4,4,1,4,7,3.0,2,2,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.07112283872636578,0.05754727094913407
d_d002972,팜파스 갈대정원,서귀포,서호동,1,4.0,2.0,3.0,30.0,0,d002972,22,여,30,0,4,2,4,2,2,2,2,7,3.0,1,2,0.9230769230769231,0.6,0.8181818181818182,-0.41224554229415594,-0.3784688277799853
d_d002895,제주아트서커스,서귀포,안덕면,3,5.0,5.0,5.0,90.0,1,d002895,2,여,30,0,3,1,4,6,6,4,4,4,2.0,6,3,1.0,1.0,1.0,0.0,0.0
d_d002910,방주교회,서귀포,안덕면,2,4.0,3.0,3.0,30.0,0,d002910,21,남,30,1,1,6,1,4,5,2,3,5,1.0,4,1,1.0,1.0,0.75,-0.14666963189524895,0.0
d_d002591,롯데마트 제주점,제주,노형동,4,3.0,3.0,3.0,30.0,0,d002591,5,남,20,0,6,3,3,2,2,4,7,2,2.0,1,0,1.0,1.0,1.0,0.0,0.0
d_d008062,협재해수욕장,제주,한림읍,1,4.0,5.0,5.0,60.0,1,d008062,24,남,30,0,3,3,3,4,5,5,5,5,3.0,3,1,1.0,1.0,1.0,0.0,0.0
d_d004297,제주특별자치도 민속자연사박물관,제주,일도2동,2,4.0,5.0,5.0,30.0,1,d004297,23,여,40,0,7,2,6,4,6,2,6,4,8.0,1,1,0.8888888888888888,1.0,1.0,-0.04901863971852673,-0.05983610193947382
d_d005188,중문대포주상절리대,서귀포,중문동,1,4.0,5.0,5.0,30.0,1,d005188,2,여,30,0,3,3,2,4,5,5,5,5,1.0,2,2,0.8888888888888888,1.1111111111111112,1.1111111111111112,0.09162362383325505,0.03378718531874297
d_d007799,에코랜드테마파크,제주,조천읍,6,5.0,4.0,4.0,180.0,1,d007799,21,여,30,1,3,3,4,3,4,5,2,6,2.0,3,8,1.1111111111111112,0.9411764705882353,0.9411764705882353,-0.025439029220651842,0.010270832214535532
d_d002015,마노르블랑,서귀포,안덕면,1,4.0,3.0,4.0,30.0,0,d002015,21,여,20,0,2,2,1,3,6,6,1,6,3.0,4,1,1.0,0.75,1.0,-0.16977546109625988,-0.2106523963309877
d_d004618,마라도,서귀포,대정읍,1,5.0,5.0,5.0,120.0,0,d004618,1,여,20,0,2,3,3,5,4,4,4,6,2.0,1,0,1.0,1.0,1.0,0.0,0.0
d_d000878,마방목지,제주,용강동,1,4.0,3.0,3.0,30.0,0,d000878,22,남,30,0,4,5,3,3,4,5,5,6,2.0,1,3,0.9523809523809523,0.7894736842105263,0.7894736842105263,-0.2874880667594362,-0.20303553533549348
d_d000334,월정퀵서프,제주,구좌읍,5,5.0,5.0,5.0,120.0,0,d000334,5,여,30,0,1,2,4,4,4,2,2,3,1.0,1,3,1.0526315789473684,1.1111111111111112,1.1111111111111112,0.16386161920792597,0.12196670396638855
d_d006952,서귀포매일올레시장,서귀포,서귀동,4,3.0,3.0,3.0,90.0,0,d006952,22,여,50,1,1,4,6,2,1,4,7,4,10.0,1,2,0.75,0.8181818181818182,0.8181818181818182,-0.3404338251786915,-0.2878329721499889
d_d010107,성산일출봉,서귀포,성산읍,1,5.0,5.0,5.0,90.0,0,d010107,1,남,20,0,1,1,6,3,4,6,1,7,2.0,2,2,1.0,1.0,1.0,0.0,0.0
d_d005291,한라산아래첫마을,서귀포,안덕면,7,5.0,5.0,5.0,60.0,0,d005291,22,여,30,0,1,1,1,1,4,4,2,7,2.0,2,8,1.153846153846154,1.153846153846154,1.153846153846154,0.2626074045281195,0.21248223119680246
d_d001275,제주카약올레,제주,애월읍,5,4.0,5.0,5.0,60.0,0,d001275,6,여,20,1,5,3,1,4,6,6,2,6,2.0,1,0,0.8571428571428571,1.153846153846154,1.0,0.0414532414760762,0.05270011283095478
d_d003636,아르떼뮤지엄 제주,제주,애월읍,3,4.0,3.0,4.0,60.0,0,d003636,6,여,30,0,4,1,2,2,2,3,5,6,1.0,5,0,1.0,1.0,1.0,0.0,0.0
d_d001862,제주동문재래시장,제주,이도일동,4,4.0,3.0,3.0,30.0,0,d001862,22,남,30,0,1,1,1,1,4,4,7,4,3.0,1,1,1.0666666666666667,0.8571428571428571,0.8571428571428571,-0.1514145835926034,-0.0844711367397373
d_d007997,아쿠아플라넷 제주,서귀포,성산읍,6,4.0,4.0,5.0,270.0,0,d007997,2,남,20,0,2,2,1,6,6,6,2,4,2.0,1,0,1.0,1.0,1.0,0.0,0.0
d_d004166,마노르블랑,서귀포,안덕면,1,3.0,1.0,1.0,30.0,0,d004166,2,여,20,0,1,1,1,4,1,1,4,1,2.0,1,1,1.0,1.0,1.0,0.0,0.0
d_d000371,함덕해수욕장,제주,조천읍,1,5.0,5.0,5.0,60.0,0,d000371,5,남,20,0,2,3,1,4,1,2,2,3,7.0,3,2,1.0,1.0,1.0,0.0,0.0
d_d011890,섭지코지,서귀포,성산읍,7,4.0,4.0,4.0,90.0,1,d011890,22,여,30,0,2,2,3,3,3,3,4,5,1.0,5,1,1.0,1.0,1.0,0.0,0.0
d_d004648,섭지코지,서귀포,성산읍,1,3.0,3.0,3.0,60.0,1,d004648,24,남,50,1,2,4,2,3,5,2,4,4,1.0,1,0,1.0,1.0,1.0,0.0,0.0
d_d002699,제주동문시장,제주,일도일동,4,4.0,4.0,4.0,60.0,1,d002699,23,여,30,0,1,1,7,1,1,1,7,1,1.0,5,0,1.0,1.0,1.0,0.0,0.0
d_d001630,제주동문재래시장,제주,이도일동,4,4.0,4.0,4.0,60.0,1,d001630,22,여,20,0,1,1,1,1,1,1,1,7,2.0,3,2,1.0,1.0,1.0,0.0,0.0
d_d012329,대한불교조계종천왕사,제주,노형동,2,3.0,2.0,2.0,30.0,0,d012329,22,남,40,1,2,1,1,1,1,4,1,7,3.0,2,1,0.8571428571428571,0.6666666666666666,0.6666666666666666,-0.48495075600773657,-0.357801992839688
d_d001402,서귀포매일올레시장,서귀포,서귀동,4,3.0,4.0,3.0,60.0,1,d001402,12,남,20,0,1,7,1,7,7,7,1,7,3.0,1,1,1.5,0.8888888888888888,0.75,-0.0015415136491054322,0.1756391714694153
d_d009053,제주항공우주박물관,서귀포,안덕면,2,5.0,5.0,5.0,90.0,1,d009053,2,여,30,0,4,5,1,4,7,2,4,5,7.0,1,3,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.1379654196218507,0.9207563351861436
d_d006209,휴애리자연생활공원,서귀포,남원읍,1,2.0,2.0,2.0,60.0,0,d006209,22,여,30,0,1,1,1,7,1,1,7,5,2.0,2,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,-0.7315491983283325,-0.5919147869053779
d_d002096,노형수퍼마켙,제주,해안동,3,5.0,5.0,5.0,60.0,0,d002096,4,여,20,0,4,1,1,3,6,4,4,7,1.0,1,1,1.0,1.0,1.0,0.0,0.0
d_d001291,김녕해수욕장,제주,구좌읍,1,4.0,4.0,4.0,60.0,0,d001291,3,여,40,1,2,4,1,6,2,1,3,1,1.0,1,0,0.96,0.96,0.9230769230769231,-0.08993990158030166,-0.05524538011116865
d_d009256,9.81파크,제주,애월읍,5,5.0,5.0,5.0,210.0,0,d009256,24,여,20,1,2,1,1,6,7,6,6,5,4.0,2,0,1.0,1.0,1.0,0.0,0.0
d_d001935,한라수목원,제주,연동,1,4.0,4.0,4.0,120.0,0,d001935,21,여,30,0,2,3,4,4,3,2,5,3,2.0,4,2,1.0526315789473684,1.0526315789473684,1.1111111111111112,0.124148061056754,0.0726912896199586
d_d011354,산방산탄산온천,서귀포,안덕면,6,5.0,5.0,5.0,120.0,1,d011354,10,여,40,1,2,2,3,3,2,2,6,7,2.0,3,0,1.25,1.3333333333333333,1.4285714285714286,0.5880928755059346,0.4155010911384662
d_d000878,감귤박물관,서귀포,신효동,2,4.0,3.0,3.0,60.0,0,d000878,22,남,30,0,4,5,3,3,4,5,5,6,2.0,1,3,0.9523809523809523,0.7894736842105263,0.7894736842105263,-0.2874880667594362,-0.20303553533549348
d_d000267,에버리스골프리조트,제주,애월읍,5,5.0,5.0,5.0,270.0,0,d000267,5,남,30,1,2,1,2,3,2,5,3,1,2.0,1,6,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.18966090327030843,0.15345938919769067
d_d001402,제주동문재래시장,제주,이도일동,4,1.0,5.0,5.0,90.0,1,d001402,12,남,20,0,1,7,1,7,7,7,1,7,3.0,1,1,0.5,1.1111111111111112,1.25,0.0015415136491054322,-0.1756391714694153
d_d005560,함덕해수욕장,제주,조천읍,1,4.0,4.0,4.0,30.0,0,d005560,4,남,30,0,4,4,4,4,2,4,7,6,1.0,2,1,1.0,1.0,1.0,0.0,0.0
d_d001987,천제연폭포,서귀포,중문동,1,3.0,3.0,3.0,60.0,0,d001987,23,남,30,1,2,2,2,2,3,6,6,2,1.0,3,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,-0.5689827098109254,-0.4603781675930718
