TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean
d_d007600,제주동문시장,제주,일도일동,4,5.0,5.0,5.0,60.0,1,d007600,22,여,20,0,7,2,1,2,5,6,7,6,3.0,1,5,1.0,1.0,1.0,0.0,51.85929648241206,0.5527638190954773,1.4221105527638191
d_d007600,오설록티뮤지엄,서귀포,안덕면,3,5.0,5.0,5.0,60.0,1,d007600,22,여,20,0,7,2,1,2,5,6,7,6,3.0,1,5,1.0,1.0,1.0,0.0,64.25196850393701,0.4409448818897638,1.2519685039370079
d_d007600,해변산책,제주,애월읍,7,5.0,5.0,5.0,30.0,1,d007600,22,여,20,0,7,2,1,2,5,6,7,6,3.0,1,5,1.0,1.0,1.0,0.0,55.714285714285715,0.2857142857142857,1.5714285714285714
d_d007606,제주민속촌,서귀포,표선면,2,5.0,5.0,5.0,90.0,1,d007606,3,여,50,0,2,4,2,4,2,4,4,2,4.0,2,0,1.0,1.0,1.0,0.0,93.75,0.125,1.6875
d_d007629,이중섭미술관,서귀포,서귀동,3,4.0,3.0,3.0,30.0,1,d007629,22,여,20,0,4,1,1,1,6,4,3,7,3.0,1,1,1.0,0.75,0.8,-0.2871111666124591,41.53846153846154,0.3076923076923077,0.7307692307692307
d_d007629,서귀포매일올레시장,서귀포,서귀동,4,4.0,5.0,4.0,60.0,1,d007629,22,여,20,0,4,1,1,1,6,4,3,7,3.0,1,1,1.0,1.25,1.0666666666666667,0.208887362934993,53.96396396396396,0.5255255255255256,1.6396396396396395
d_d007629,이중섭거리,서귀포,서귀동,4,3.0,3.0,3.0,30.0,1,d007629,22,여,20,0,4,1,1,1,6,4,3,7,3.0,1,1,0.75,0.75,0.8,-0.39740310597914424,49.2,0.42,0.9
d_d007629,낭만잡화점,서귀포,서귀동,4,5.0,5.0,5.0,60.0,0,d007629,22,여,20,0,4,1,1,1,6,4,3,7,3.0,1,1,1.25,1.25,1.3333333333333333,0.47562690965661053,60.0,0.0,1.0
d_d007632,우도산호해변,제주,우도면,1,5.0,5.0,5.0,30.0,1,d007632,1,여,20,0,3,2,3,4,3,5,3,6,2.0,4,1,1.0714285714285714,1.25,1.0714285714285714,0.24319305288538393,35.0,0.4166666666666667,3.0
d_d007632,성산일출봉,서귀포,성산읍,1,5.0,4.0,5.0,60.0,1,d007632,1,여,20,0,3,2,3,4,3,5,3,6,2.0,4,1,1.0714285714285714,1.0,1.0714285714285714,0.07341759178912402,65.390625,0.578125,1.5625
