TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
d_d004302,메리어트관 제주신화월드호텔앤리조트,1,1,Y,2022-10-12 00:00:00.000,2022-10-13 00:00:00.000,3,6168609829.0,람정제주개발 주식회사,제주특별자치도 서귀포시 안덕면 녹차분재로 217,,3349232.0,5013031027.0,2022-10-12 14:21:00.000,1.0,123200,
d_d000352,김군아미고게스트하우스,10,7,,,,2,,김군아미고게스트하우스,애월해안로 670,,,,,5.0,46000,숙박비
d_d000778,그랜드하얏트제주,0,1,Y,2022-09-03 00:00:00.000,2022-09-04 00:00:00.000,1,,,제주특별자치도 제주시 노연로 12,,,,,1.0,394000,
d_d003131,유탑유블레스호텔 제주,0,1,Y,2022-10-22 00:00:00.000,2022-10-24 00:00:00.000,2,,,제주특별자치도 제주시 조천읍 조함해안로 502,제주특별자치도 제주시 조천읍 함덕리 1269-9,,,,1.0,208104,
d_d010253,에코랜드호텔,1,1,Y,2022-10-31 00:00:00.000,2022-11-01 00:00:00.000,3,6168140053.0,㈜더원,제주특별자치도 제주시 조천읍 번영로 1278-169,제주특별자치도 제주시 조천읍 대흘리 1221-1,3349234.0,5011025926.0,2022-11-01 08:56:00.000,1.0,200000,
c_c003698,아일랜드 리솜,1,4,Y,2022-09-28 00:00:00.000,2022-09-29 00:00:00.000,5,3058126321.0,(주)호반호텔앤리조트,충남 태안군 안면읍 꽃지해안로 204,,3264003.0,4482525324.0,2022-09-29 11:17:00.000,1.0,206000,
d_d003962,브라운스위트제주 호텔앤리조트,1,1,Y,2022-10-13 00:00:00.000,2022-10-14 00:00:00.000,4,2118841856.0,주식회사티몬,서울 강남구 압구정로 118,서울 강남구 신사동 529-4,3122007.0,1168010700.0,2022-10-01 21:48:00.000,1.0,57110,(서귀포시)브라운스위트제주 스탠다드 트윈(시티뷰)
d_d005209,코즈게스트하우스,1,7,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,2,1172400702.0,코즈게스트하우스,제주특별자치도 서귀포시 안덕면 동광로100번길 20,제주특별자치도 서귀포시 안덕면 동광리 1593-6,4850157.0,5013031028.0,2022-10-23 00:00:00.000,1.0,69900,카멜리아힐 커플룸
d_d003234,메리어트관 제주신화월드호텔앤리조트,2,1,Y,2022-10-16 00:00:00.000,2022-10-18 00:00:00.000,2,6168609829.0,람정제주개발 주식회사,제주특별자치도 서귀포시 안덕면 녹차분재로 217,,3349232.0,5013031027.0,2022-10-16 16:41:00.000,1.0,277200,
d_d004710,탐라스테이호텔제주,1,1,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,2,,탐라스테이호텔제주,제주특별자치도 제주시 애월읍 애월해안로 881,제주특별자치도 제주시 애월읍 하귀2리 2732,3349131.0,5011025341.0,2022-10-11 00:00:00.000,1.0,95740,스탠다드 트윈룸
b_b009828,호텔더원,0,1,Y,2022-10-20 00:00:00.000,2022-10-21 00:00:00.000,2,,,전남 여수시 국포1로 6,전남 여수시 국동 37-28,,,,1.0,53000,
d_d002694,제주바다펜션,0,3,Y,2022-10-17 00:00:00.000,2022-10-19 00:00:00.000,9,,,제주특별자치도 제주시 구좌읍 해맞이해안로 2324,제주특별자치도 제주시 구좌읍 종달리 572-11,,,,1.0,860000,
d_d007004,아이비테라스펜션,0,3,Y,2022-10-22 00:00:00.000,2022-10-23 00:00:00.000,2,,,제주특별자치도 서귀포시 법환상로 65,제주특별자치도 서귀포시 법환동 1074-3,,,,4.0,118575,
d_d000158,더큐브리조트 제주,0,4,Y,2022-08-12 00:00:00.000,2022-08-15 00:00:00.000,4,,,제주특별자치도 서귀포시 솔오름로105번길 24,제주특별자치도 서귀포시 토평동 산 30-13,,,,5.0,393176,
d_d002192,성산스테이션,1,7,Y,2022-10-05 00:00:00.000,2022-10-06 00:00:00.000,1,,성산 스테이션,제주특별자치도 서귀포시 성산읍 성산중앙로 43,제주특별자치도 서귀포시 성산읍 성산리 181-1,3350155.0,5013025921.0,2022-10-05 00:00:00.000,1.0,24900,게스트하우스
d_d009886,신신호텔 천지연,1,1,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,2208115770.0,나이스정보통신㈜,,,,,2022-10-14 00:00:00.000,1.0,35790,Shinshin Hotel Cheonjiyeon
d_d002944,호텔DK,0,1,Y,2022-10-21 00:00:00.000,2022-10-23 00:00:00.000,2,,,제주특별자치도 서귀포시 중앙로54번길 12,제주특별자치도 서귀포시 서귀동 291-70,,,,,0,
d_d006237,상상나무키즈펜션,0,3,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,4,,,제주특별자치도 서귀포시 표선면 번영로 2587-17,제주특별자치도 서귀포시 표선면 성읍리 2393,,,,5.0,79000,
d_d004865,붉은오름자연휴양림,1,9,Y,2022-10-11 00:00:00.000,2022-10-12 00:00:00.000,4,6168300017.0,제주특별자치도청/예술인,제주특별자치도 서귀포시 표선면 남조로 1487-73,제주특별자치도 서귀포시 표선면 가시리 산 158,3349229.0,5013032024.0,2022-10-11 17:20:00.000,1.0,6600,어른 개인 11일;청소년·군인 개인 11일;중소형 11일;야영장 전기사용료A 11일;12세이하 무료 11일
d_d008023,나인스파빌,0,3,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,,,제주특별자치도 제주시 애월읍 하광로 518,제주특별자치도 제주시 애월읍 광령리 2970,,,,1.0,132000,
d_d002051,제주가좋아서,0,3,Y,2022-10-11 00:00:00.000,2022-10-12 00:00:00.000,4,,,제주특별자치도 제주시 구좌읍 비자림로 1569,제주특별자치도 제주시 구좌읍 송당리 2250-1,,,,1.0,150000,
d_d001541,아루미호텔,0,1,Y,2022-09-26 00:00:00.000,2022-09-28 00:00:00.000,2,,,제주특별자치도 서귀포시 색달중앙로 38,,,,,1.0,123039,
d_d002329,흰고래게스트하우스,0,7,Y,2022-10-07 00:00:00.000,2022-10-08 00:00:00.000,3,,,제주특별자치도 서귀포시 이어도로1066번길 26,제주특별자치도 서귀포시 서호동 65-2,,,,5.0,90000,
d_d000221,MJ리조트,1,4,Y,2022-08-25 00:00:00.000,2022-08-27 00:00:00.000,1,2208115770.0,나이스정보통신㈜,,,,,2022-08-23 00:00:00.000,1.0,315279,객실1개*2박
d_d001247,귤한가,1,3,Y,2022-09-20 00:00:00.000,2022-09-21 00:00:00.000,2,,귤한가,제주특별자치도 제주시 한림읍 명월성로 234-1,,3349067.0,5011025031.0,2022-09-20 00:00:00.000,3.0,180000,귤한가302호
