TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c003325,11,여,50,7,5.0,2.0,5,3.0,,7,8.0,3,2,50,50130,26,26350,46,46130,2,3,3,2,2,5,5,5,서울특별시,대전,2인 여행(가족 외),2022-10-01~2022-10-01,2.0,6.0,5.0,1
c014151,41,여,20,6,1.0,1.0,3,12.0,,1,4.0,2,1,50,50110,50,50130,11,11110,3,5,5,5,3,5,5,3,경기도,전남,2인 여행(가족 외),2022-11-10~2022-11-10,2.0,1.0,3.0,1
c010920,29,남,30,6,1.0,1.0,1,3.0,,5,,2,1,29,29200,46,46710,46,46130,1,4,3,4,3,4,2,6,광주광역시,전남,2인 여행(가족 외),2022-10-29~2022-10-29,2.0,1.0,3.0,1
c011539,41,여,20,4,1.0,1.0,4,12.0,,2,6.0,3,4,42,42150,42,42230,26,26200,5,2,4,3,3,2,2,6,경기도,광주,2인 여행(가족 외),2022-10-28~2022-10-29,1.0,2.0,3.0,1
c006088,29,남,20,6,1.0,1.0,2,3.0,,4,7.0,2,1,46,46710,27,27260,11,11680,2,2,2,2,4,4,6,5,광주광역시,전남,나홀로 여행,2022-10-16~2022-10-16,1.0,2.0,4.0,0
c001051,11,남,20,4,1.0,1.0,1,4.0,,2,,3,2,42,42150,46,46130,46,46150,4,7,7,3,1,4,2,4,서울특별시,전남,2인 여행(가족 외),2022-09-04~2022-09-07,3.0,1.0,2.0,1
a003321,11,여,30,6,1.0,1.0,4,3.0,,4,7.0,3,3,44,44825,26,26350,45,45130,4,2,2,6,5,1,4,7,서울특별시,충북,3인 이상 여행(가족 외),2022-10-01~2022-10-03,1.0,8.0,2.0,3
c005492,46,여,30,6,1.0,1.0,3,13.0,,6,6.0,2,2,29,29110,11,11650,29,29140,4,4,5,4,4,4,3,5,전라남도,광주,나홀로 여행,2022-10-06~2022-10-06,1.0,8.0,4.0,0
c003765,41,여,30,6,1.0,1.0,3,3.0,,4,7.0,3,2,50,50130,26,26350,45,45110,4,1,1,3,2,2,2,3,서울특별시,전북,나홀로 여행,2022-09-29~2022-09-30,1.0,,,0
c006676,41,남,30,6,1.0,2.0,2,3.0,,4,7.0,3,4,50,50110,26,26500,42,42150,2,1,2,3,5,4,3,3,경기도,충북,2인 가족 여행,2022-10-21~2022-10-22,3.0,2.0,7.0,1
c012759,41,남,20,6,1.0,1.0,1,3.0,,5,,2,2,42,42150,50,50110,47,47130,2,6,5,5,2,5,5,2,경기도,대전,2인 여행(가족 외),2022-11-02~2022-11-02,1.0,2.0,,0
c001615,11,여,20,6,1.0,1.0,5,3.0,,4,12.0,3,3,50,50110,42,42830,48,48240,4,1,1,5,7,7,7,7,서울특별시,대전,2인 여행(가족 외),2022-08-27~2022-08-28,1.0,7.0,2.0,1
c005886,11,여,20,7,1.0,1.0,3,2.0,,4,9.0,2,1,28,28710,42,42110,41,41820,1,4,5,2,2,2,5,4,서울특별시,충북,나홀로 여행,2022-10-26~2022-10-26,2.0,1.0,4.0,0
c004952,11,여,20,6,1.0,1.0,4,3.0,,4,11.0,2,2,50,50130,41,41480,50,50110,1,2,2,5,5,2,5,6,서울특별시,충남,2인 여행(가족 외),2022-10-02~2022-10-02,1.0,3.0,2.0,1
c007495,46,남,40,4,4.0,2.0,3,4.0,,5,7.0,2,2,11,11710,46,46710,46,46900,6,6,2,2,2,1,4,4,전라남도,전남,2인 여행(가족 외),2022-10-18~2022-10-18,2.0,3.0,6.0,2
c002536,27,여,20,6,1.0,1.0,4,2.0,,4,7.0,2,1,26,26710,50,50130,47,47720,2,2,2,5,6,2,6,3,대구광역시,충남,나홀로 여행,2022-10-01~2022-10-03,2.0,1.0,3.0,2
c010921,28,남,20,4,1.0,1.0,2,13.0,,1,1.0,4,1,50,50130,50,50110,42,42150,2,1,4,3,2,6,4,7,인천광역시,충북,2인 여행(가족 외),2022-10-29~2022-10-29,5.0,7.0,3.0,1
c003018,41,여,30,6,1.0,2.0,2,11.0,,2,7.0,3,6,50,50130,26,26200,42,42170,2,2,2,4,3,3,6,6,경기도,충북,2인 가족 여행,2022-10-02~2022-10-03,1.0,2.0,7.0,1
c005830,11,여,30,6,1.0,1.0,4,4.0,,5,6.0,2,1,42,42150,26,26350,50,50110,5,2,4,1,4,2,7,4,서울특별시,대전,나홀로 여행,2022-10-12~2022-10-12,1.0,2.0,7.0,0
c012913,45,여,50,4,1.0,2.0,3,2.0,,4,6.0,3,1,42,42150,26,26710,47,47130,4,4,4,4,4,4,4,4,전라북도,전북,나홀로 여행,2022-11-03~2022-11-03,2.0,,,0
c012301,11,여,30,6,5.0,1.0,4,13.0,,4,7.0,2,2,41,41280,41,41820,41,41610,3,5,4,7,6,2,6,6,서울특별시,전북,부모 동반 여행,2022-11-03~2022-11-05,7.0,8.0,1.0,1
c011939,29,여,30,6,1.0,1.0,5,3.0,,4,10.0,2,2,46,46820,26,26530,46,46130,4,4,5,4,3,6,5,6,광주광역시,전남,나홀로 여행,2022-10-29~2022-10-29,1.0,2.0,5.0,0
c000329,41,남,40,6,1.0,2.0,4,3.0,,8,11.0,2,1,43,43150,46,46130,42,42110,2,1,1,2,1,2,3,2,경기도,충북,자녀 동반 여행,2022-08-19~2022-08-21,3.0,1.0,8.0,3
c008076,11,남,20,6,1.0,1.0,4,1.0,,6,12.0,2,1,42,42110,27,27260,11,11440,6,2,4,1,2,5,1,5,서울특별시,광주,나홀로 여행,2022-10-21~2022-10-22,8.0,2.0,1.0,0
c000375,28,남,30,6,1.0,2.0,4,3.0,,8,9.0,2,1,41,41570,28,28710,44,44130,5,3,5,2,3,5,2,7,인천광역시,충북,자녀 동반 여행,2022-09-02~2022-09-04,3.0,2.0,1.0,3
c001774,28,여,20,4,1.0,1.0,2,3.0,,4,6.0,3,4,42,42150,43,43150,41,41570,2,2,3,1,5,6,2,5,인천광역시,대전,2인 여행(가족 외),2022-08-25~2022-08-26,2.0,3.0,1.0,1
c000980,41,남,60,6,1.0,2.0,3,1.0,,5,9.0,3,4,42,42150,48,48840,46,46130,2,2,2,3,3,4,2,6,경기도,충북,자녀 동반 여행,2022-09-08~2022-09-08,8.0,3.0,7.0,3
c006741,41,여,40,6,2.0,2.0,4,2.0,,2,7.0,3,3,42,42130,11,11230,42,42760,2,2,2,4,2,2,5,1,경기도,충남,3인 이상 여행(가족 외),2022-10-22~2022-10-22,2.0,,,3
c006448,29,여,30,5,1.0,2.0,3,3.0,,3,5.0,2,2,46,46170,45,45750,46,46130,2,2,2,2,2,2,2,7,광주광역시,전남,자녀 동반 여행,2022-10-30~2022-10-31,9.0,1.0,2.0,4
c012367,41,여,20,5,1.0,1.0,1,4.0,,4,,2,4,26,26230,42,42150,50,50130,1,1,1,7,1,1,1,1,경기도,충남,나홀로 여행,2022-11-06~2022-11-06,2.0,6.0,4.0,0
