TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d009783,50,여,20,5,1.0,1.0,3,2.0,,4,9.0,3,10,26,26200,48,48120,42,42150,1,1,1,4,4,1,4,4,제주특별자치도,제주,나홀로 여행,2022-11-04~2022-11-06,1.0,2.0,10.0,1
d002271,11,여,20,6,1.0,1.0,3,4.0,,6,12.0,2,1,43,43110,44,44825,42,42150,3,2,2,2,2,4,4,4,서울특별시,제주,3인 이상 여행(가족 외),2022-10-20~2022-10-23,3.0,5.0,7.0,4
d009189,50,남,30,6,1.0,1.0,1,4.0,,4,,3,3,11,11440,26,26350,48,48310,3,2,6,4,6,6,7,1,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-27~2022-10-28,2.0,3.0,1.0,2
d009694,41,여,20,6,1.0,1.0,3,2.0,,3,10.0,2,1,42,42210,50,50130,50,50110,4,2,2,1,3,2,2,3,경기도,제주,2인 여행(가족 외),2022-11-03~2022-11-05,2.0,1.0,6.0,1
d009480,28,여,30,6,1.0,1.0,3,3.0,,4,7.0,3,2,50,50110,26,26380,42,42210,4,1,6,2,2,3,6,2,인천광역시,제주,2인 가족 여행,2022-10-28~2022-11-06,2.0,3.0,9.0,1
d000499,11,여,40,5,1.0,1.0,3,3.0,,4,5.0,3,3,47,47250,29,29200,42,42830,2,2,2,2,1,4,5,6,서울특별시,제주,나홀로 여행,2022-08-20~2022-08-24,7.0,4.0,1.0,0
d000308,41,여,20,4,1.0,1.0,5,2.0,,2,9.0,3,2,50,50130,42,42170,11,11110,4,2,4,4,4,2,3,4,경기도,제주,3인 이상 여행(가족 외),2022-08-27~2022-08-30,1.0,3.0,7.0,3
d000605,30,남,30,6,1.0,1.0,1,3.0,,5,,4,1,50,50110,50,50130,44,44180,4,1,3,4,2,3,6,4,대전광역시,제주,2인 여행(가족 외),2022-08-19~2022-08-21,3.0,2.0,1.0,1
d000583,11,남,20,7,2.0,1.0,1,2.0,,3,,3,4,50,50110,50,50130,42,42150,2,2,2,5,2,3,6,6,서울특별시,제주,2인 여행(가족 외),2022-08-27~2022-08-31,2.0,1.0,3.0,1
d004615,11,여,20,6,1.0,1.0,1,3.0,,4,,3,2,42,42150,50,50130,26,26350,2,2,2,4,5,3,7,4,서울특별시,제주,나홀로 여행,2022-10-17~2022-10-19,1.0,2.0,4.0,0
